All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    assembly
# contigs (>= 0 bp)         14406   
# contigs (>= 1000 bp)      12552   
# contigs (>= 5000 bp)      2700    
# contigs (>= 10000 bp)     323     
# contigs (>= 25000 bp)     3       
# contigs (>= 50000 bp)     0       
Total length (>= 0 bp)      48039722
Total length (>= 1000 bp)   46824420
Total length (>= 5000 bp)   19867243
Total length (>= 10000 bp)  4089889 
Total length (>= 25000 bp)  92717   
Total length (>= 50000 bp)  0       
# contigs                   14178   
Largest contig              38964   
Total length                47950069
GC (%)                      47.19   
N50                         4375    
N90                         1934    
auN                         5196.9  
L50                         3579    
L90                         10008   
# N's per 100 kbp           0.00    
