#seq_name	length	coverage
contig_1	3632	3
contig_10	566	203
contig_100	2429	976
contig_101	544	20
contig_102	653	70
contig_103	1350	126
contig_104	1674	365
contig_105	504	19
contig_107	3216	4
contig_108	850	214
contig_109	887	308
contig_11	768	634
contig_110	3477	6
contig_111	2408	3
contig_112	2218	3
contig_113	1171	248
contig_114	8144	193
contig_115	925	362
contig_116	676	84
contig_117	813	33
contig_118	519	74
contig_119	1022	73
contig_12	1807	110
contig_120	3018	11
contig_121	4214	3
contig_122	5952	5
contig_123	2598	3
contig_124	2329	4
contig_125	4089	19
contig_126	2229	5
contig_127	527	146
contig_128	478	45
contig_129	1215	406
contig_13	610	32
contig_130	259	3
contig_131	560	32
contig_132	4601	306
contig_133	574	25
contig_134	2254	407
contig_135	2552	484
contig_136	2469	4
contig_137	1778	22
contig_138	5926	12
contig_139	6060	104
contig_140	2216	18
contig_141	1195	219
contig_142	590	87
contig_143	497	14
contig_144	1205	12
contig_145	1998	32
contig_146	994	49
contig_147	872	47
contig_15	430	3
contig_151	1466	17
contig_152	991	19
contig_154	11246	43
contig_155	1237	13
contig_156	929	264
contig_157	1470	20
contig_158	2283	6
contig_159	2269	7
contig_160	2528	8
contig_161	2550	5
contig_162	5079	8
contig_163	617	616
contig_164	998	276
contig_165	611	556
contig_166	1066	270
contig_167	832	180
contig_168	147	43
contig_169	633	382
contig_17	483	77
contig_170	2491	3
contig_171	588	18
contig_172	574	96
contig_173	781	46
contig_174	852	79
contig_175	620	11
contig_176	730	62
contig_177	749	28
contig_178	995	49
contig_179	2479	9
contig_18	2045	445
contig_180	2216	30
contig_181	2603	9
contig_182	2209	3
contig_183	1395	3
contig_184	2727	3
contig_185	2269	44
contig_186	2447	6
contig_187	3944	3
contig_188	3971	4
contig_189	1490	23
contig_19	1121	2351
contig_190	2582	6
contig_191	2397	7
contig_192	2355	3
contig_193	1501	7
contig_194	2427	7
contig_195	2524	4
contig_196	3014	4
contig_197	2296	275
contig_198	2295	7
contig_199	2355	4
contig_2	2819	3
contig_20	2147	218
contig_200	2490	109
contig_202	4957	4
contig_205	596	105
contig_206	5222	74
contig_207	1533	117
contig_208	1398	12
contig_209	1876	15
contig_21	530	20
contig_211	2296	6
contig_212	2700	24
contig_213	2182	5
contig_214	2552	5
contig_215	2798	9
contig_216	2323	3
contig_217	2306	5
contig_218	2266	12
contig_219	2653	5
contig_22	1867	133
contig_220	4122	26
contig_221	3643	9
contig_222	1127	6
contig_223	4753	24
contig_224	2249	6
contig_225	2233	4
contig_226	2988	75
contig_227	3940	41
contig_228	2513	27
contig_229	1174	165
contig_23	516	18
contig_231	2512	3
contig_232	2690	3
contig_234	2817	12
contig_235	8540	4
contig_236	1140	3
contig_237	3999	15
contig_238	2608	3
contig_239	2972	8
contig_24	848	316
contig_240	2998	4
contig_241	2273	294
contig_242	2585	4
contig_243	2687	3
contig_244	2802	3
contig_245	2649	3
contig_246	3865	56
contig_247	3885	26
contig_248	2372	4
contig_249	3148	3
contig_25	629	41
contig_250	1516	30
contig_251	2605	3
contig_252	2818	5
contig_253	1544	26
contig_254	2866	19
contig_255	2500	3
contig_256	5986	4
contig_257	3084	9
contig_258	3003	3
contig_259	2392	4
contig_26	329	25
contig_260	2954	5
contig_261	4298	8
contig_262	5231	4
contig_263	2881	3
contig_264	2547	3
contig_265	2349	4
contig_266	3820	5
contig_267	2271	86
contig_268	2704	6
contig_269	2282	3
contig_27	1484	241
contig_270	3841	5
contig_271	8789	20
contig_274	609	12
contig_276	544	7
contig_28	449	9
contig_281	6820	20
contig_282	1385	6
contig_283	2299	3
contig_284	3734	5
contig_285	2346	15
contig_286	8506	13
contig_287	2357	8
contig_288	1461	20
contig_289	3643	20
contig_29	2422	333
contig_290	4777	44
contig_292	2247	3
contig_293	1108	303
contig_294	787	289
contig_295	581	201
contig_297	591	147
contig_299	2705	4
contig_3	570	501
contig_30	932	100
contig_300	2736	3
contig_301	2376	5
contig_302	2210	3
contig_303	1362	6
contig_305	2918	4
contig_306	2599	4
contig_307	2459	3
contig_31	735	31
contig_310	5985	35
contig_311	7012	23
contig_312	2374	18
contig_313	2249	3
contig_314	3447	3
contig_315	2297	12
contig_316	2263	3
contig_317	4054	33
