#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_4888	16250	16	N	N	3	*	*,4888,*
contig_1605	14050	27	N	N	3	*	*,1605,*
contig_1761	13893	89	N	N	13	*	*,1761,*
contig_2947	13691	23	N	N	3	*	*,2947,*
contig_304	13656	20	N	N	2	*	*,304,*
contig_3912	13476	20	N	N	5	*	*,3912,*
contig_2447	13257	16	N	N	5	*	*,2447,*
contig_2291	12848	21	N	N	2	*	*,2291,*
contig_5186	12739	19	N	N	4	*	*,5186,*
contig_6422	12691	20	N	N	4	*	*,6422,*
contig_3995	12569	21	N	N	2	*	*,3995,3996
contig_1190	12286	21	N	N	3	*	*,1190,*
contig_1433	12258	16	N	Y	1	*	1433,*
contig_315	11914	59	N	N	7	*	*,315,387,388,390,-393,393,-390
contig_564	11780	74	N	N	10	*	*,564,*
contig_3909	11730	22	N	N	5	*	*,3909,*
contig_5971	11575	22	N	N	4	*	*,5971,*
contig_3971	11520	15	N	N	2	*	*,3971,*
contig_3759	11436	41	N	N	4	*	*,3759,*
contig_2141	11386	71	N	N	8	*	*,2141,*
contig_5124	11310	10	N	N	2	*	*,5124,*
contig_1923	11184	17	N	N	3	*	*,1923,*
contig_3999	11126	20	N	N	5	*	*,3999,*
contig_1585	11055	53	N	N	7	*	*,1585,*
contig_6696	11029	10	Y	N	2	*	6696
contig_2595	11019	20	N	N	3	*	*,2595,*
contig_2126	10975	7	N	N	1	*	*,2126,*
contig_4961	10934	19	N	N	4	*	*,4961,*
contig_6066	10897	11	N	N	2	*	*,6066,*
contig_2199	10867	20	N	Y	2	*	2199
contig_5589	10834	27	N	N	6	*	*,5589,*
contig_6483	10801	8	Y	Y	2	*	6483
contig_5375	10796	16	N	N	4	*	*,5375,*
contig_3758	10729	28	N	N	7	*	*,3758,*
contig_5086	10717	20	N	N	5	*	*,5086,*
contig_1077	10661	14	N	N	3	*	*,1077,*
contig_3821	10650	20	N	N	4	*	*,3821,*
contig_3819	10605	21	N	N	3	*	*,3819,*
contig_3471	10586	32	N	N	4	*	6586,3471,-6586
contig_4483	10420	19	N	N	3	*	*,4483,*
contig_4059	10398	21	N	N	5	*	*,4059,*
contig_3203	10379	26	N	N	3	*	*,3203,*
contig_3890	10345	24	N	N	2	*	-3889,3890,3891,3894
contig_3836	10322	12	N	N	4	*	*,3836,*
contig_132	10271	129	N	N	16	*	*,132,*
contig_5246	10269	12	N	N	2	*	*,5246,*
contig_6160	10259	20	N	N	5	*	*,6160,*
contig_2979	10146	35	N	N	5	*	*,2979,*
contig_2267	10145	20	N	N	3	*	2266,2265,2267,-2265,-2266
contig_6522	10141	21	N	N	5	*	*,6522,*
contig_2868	10124	32	N	N	3	*	*,2868,*
contig_3589	10119	13	Y	N	1	*	3589
contig_2927	10113	12	N	N	3	*	*,2927,*
contig_6720	10103	17	N	N	2	*	*,6720,*
contig_5129	10040	22	N	N	2	*	*,5129,*
contig_6795	10028	13	N	Y	6	*	*,6795
contig_4262	10015	24	N	N	2	*	*,4262,*
contig_1427	9997	16	N	N	4	*	*,1427,*
contig_5997	9953	13	N	N	2	*	5997,-5995,-5996,5995
contig_1211	9937	36	N	N	4	*	*,1211,-240,-241
contig_6364	9859	94	N	N	10	*	1662,-1658,1659,1664,6364,-5583
contig_5610	9787	13	N	N	2	*	*,5610,*
contig_1204	9780	21	N	Y	2	*	1204
contig_1608	9720	22	N	N	2	*	*,1608,*
contig_6380	9607	32	N	N	4	*	*,6380,*
contig_4644	9522	11	N	N	2	*	4644,-4643,*
contig_4146	9478	20	N	N	2	*	*,4146,*
contig_4351	9474	14	N	N	3	*	*,4351,*
contig_2386	9471	11	Y	N	2	*	2386
contig_2298	9456	16	N	N	2	*	*,2298,*
