#seq_name	length	coverage
contig_13	743	43
contig_5	986	16
contig_2	581	62
contig_14	2267	14
contig_23	1238	10
contig_17	1071	18
contig_6	3278	8
contig_28	2477	5
contig_33	1076	19
contig_32	1327	5
contig_27	2821	14
contig_35	1217	8
contig_34	2378	12
contig_36	1207	17
contig_3	3608	59
contig_20	2729	56
contig_29	5483	23
contig_53	695	61
contig_52	1603	32
contig_24	6338	15
contig_25	6950	26
contig_54	1650	47
contig_59	2470	23
contig_30	7728	20
contig_60	3146	16
contig_61	1388	19
contig_62	1585	57
contig_66	949	33
contig_58	6399	20
contig_31	7247	22
contig_69	1855	14
contig_65	2508	27
contig_22	7379	19
contig_67	2581	28
contig_16	7530	27
contig_63	2291	26
contig_77	1040	77
contig_51	6540	30
contig_90	1778	11
contig_76	5730	9
contig_68	5392	32
contig_75	6131	26
contig_99	3723	19
contig_21	7896	37
contig_97	2943	32
contig_104	2618	16
contig_86	4366	29
contig_88	5338	34
contig_98	9267	16
contig_78	4620	60
contig_102	3739	40
contig_113	1927	20
contig_105	2280	48
contig_117	1076	34
contig_114	1306	41
contig_112	3539	34
contig_115	1709	25
contig_118	3620	7
contig_122	960	15
contig_73	9092	21
contig_126	1592	4
contig_123	618	26
contig_125	1749	11
contig_103	5789	24
contig_121	4467	13
contig_129	2965	21
contig_131	1798	20
contig_139	1217	2
contig_87	9925	42
contig_133	1465	73
contig_130	4011	32
contig_140	2842	21
contig_145	2819	11
contig_136	2963	37
contig_137	2831	42
contig_146	1613	43
contig_148	2174	28
contig_151	1907	20
contig_144	4313	18
contig_152	1497	21
contig_147	3026	22
contig_155	338	4
contig_110	6391	62
contig_153	1393	18
contig_132	4311	66
contig_175	505	6
contig_127	6460	21
contig_169	3173	15
contig_173	1022	69
contig_157	3191	20
contig_185	2507	14
contig_177	1074	87
contig_142	11096	18
contig_170	3777	20
contig_189	1025	4
contig_186	2501	20
contig_206	1258	100
contig_209	711	104
contig_176	3986	33
contig_202	2834	65
contig_156	3329	135
contig_208	2616	44
contig_238	559	2
contig_213	4525	30
contig_237	4695	11
contig_234	4167	11
contig_187	8072	33
contig_207	3226	96
contig_109	12138	41
contig_214	6385	20
contig_241	2963	16
contig_240	1899	19
contig_242	4081	17
contig_245	2280	20
contig_244	2841	22
contig_160	10410	26
contig_246	5857	11
contig_239	6994	24
contig_253	3324	7
contig_243	6973	21
contig_248	5229	18
contig_235	15160	15
contig_250	9624	14
contig_267	1854	8
contig_221	10770	21
contig_257	2755	18
contig_256	3673	15
contig_249	8198	18
contig_254	2770	46
contig_252	5090	33
contig_255	7691	16
contig_219	5280	110
contig_266	1869	54
contig_258	2554	35
contig_269	5063	20
contig_274	847	5
contig_273	2198	18
contig_283	1454	19
contig_188	14335	35
contig_284	1452	27
contig_288	4773	16
contig_285	3810	33
contig_290	4292	19
contig_291	2932	17
contig_277	4822	20
contig_304	3300	35
contig_326	2584	60
contig_289	2948	111
contig_333	4716	9
contig_247	9150	23
contig_329	1196	89
contig_332	3970	33
contig_338	1473	10
contig_336	1917	24
contig_178	9455	127
contig_334	1102	63
contig_344	1291	20
contig_328	1285	212
contig_275	7828	50
contig_339	2637	73
contig_345	1380	80
contig_349	827	105
contig_348	1035	138
contig_352	3749	11
contig_325	5261	61
contig_354	1114	23
contig_330	6505	66
contig_355	1334	38
contig_356	1919	39
contig_359	1173	1
contig_343	6910	30
contig_366	451	34
contig_276	13200	39
contig_371	1076	58
contig_378	1519	59
contig_342	4552	87
contig_358	4065	39
contig_375	2048	57
contig_346	13684	30
contig_337	9014	56
contig_382	2768	6
contig_381	1830	20
contig_380	2428	18
contig_379	6142	17
contig_387	2839	13
contig_335	1787	199
contig_391	937	15
contig_390	1362	9
contig_395	1256	7
contig_372	5670	71
contig_384	5100	22
contig_376	6386	28
contig_396	2086	15
contig_393	1315	125
contig_386	6024	19
contig_405	1435	12
contig_388	5061	36
contig_413	1805	8
contig_271	14948	63
contig_418	2226	5
contig_406	1116	62
contig_411	1465	54
contig_398	4765	12
contig_397	2185	111
contig_392	9032	20
contig_421	2546	6
contig_420	5471	14
contig_419	2188	19
contig_434	2748	20
contig_439	514	50
contig_436	1395	3
contig_437	1506	9
contig_417	4972	44
contig_433	769	130
contig_442	1061	20
contig_394	5892	58
contig_444	2404	16
contig_440	2943	35
contig_435	1663	106
contig_441	3538	26
contig_451	3807	7
contig_447	1226	85
contig_455	2860	16
contig_404	4611	129
contig_449	4795	18
contig_459	2932	18
contig_446	2544	70
contig_458	4638	8
contig_448	6372	20
contig_350	21036	23
contig_468	1744	19
contig_466	3035	11
contig_469	2317	14
contig_460	2648	88
contig_467	3167	35
contig_477	1124	53
contig_480	1854	10
contig_481	1244	15
contig_478	1867	17
contig_465	4501	43
contig_482	1021	24
contig_479	3954	24
contig_483	1150	23
contig_461	2602	146
contig_484	3494	12
contig_488	1556	8
contig_464	4441	53
contig_357	13473	107
contig_501	2374	13
contig_485	2879	68
contig_494	2182	45
contig_470	6195	63
contig_489	2612	58
contig_502	6818	9
contig_490	4617	25
contig_473	6759	30
contig_507	3215	15
contig_509	1365	8
contig_506	1572	13
