#seq_name	length	coverage	circular	repeat	mult	telomere	alt_group	graph_path
contig_1	2389	4	N	N	1	both	*	1
contig_3	6434	5	N	N	1	both	*	3
contig_4	2563	3	N	N	1	both	*	4
contig_5	1585	10	N	N	1	both	*	5
contig_11	5163	7	Y	N	1	none	*	11
contig_12	4342	5	N	N	1	both	*	12
contig_64	3304	4	N	N	1	both	*	64
contig_73	3128	12	N	N	2	both	*	73
contig_74	5396	5	N	N	1	both	*	74
contig_75	4623	4	N	N	1	both	*	75
contig_76	1003	4	N	N	1	both	*	76
contig_77	8311	3	N	N	1	none	*	9,9,77,-1092,-1093
contig_79	3628	11	N	N	1	both	*	79
contig_81	5694	3	N	N	1	both	*	81
contig_82	1018	15	N	N	2	both	*	82
contig_83	1053	54	N	N	7	both	*	83
contig_85	2443	4	N	N	1	both	*	85
contig_86	2609	3	N	N	1	both	*	86
contig_88	6715	10	N	N	1	none	*	88,-2295,-87,-32,32,87,2295
contig_89	1452	6	N	N	1	none	*	-87,-32,89
contig_90	7662	91	N	N	11	none	*	-47,-47,51,24,-24,-51,47,47,90,2453,2454,2458,2453
contig_91	920	17	N	N	2	both	*	91
contig_92	2068	16	N	N	2	both	*	92
contig_93	4174	8	N	N	1	both	*	93
contig_94	3380	3	N	N	1	both	*	94
contig_96	621	3	N	N	1	both	*	96
contig_97	671	4	N	N	1	both	*	97
contig_98	14679	5	N	N	1	right	*	-27,-26,-25,25,26,-26,-25,26,27,27,27,27,50,-50,-27,-27,-27,-26,-25,25,26,27,27,27,50,98
contig_99	1762	12	N	N	2	both	*	99
contig_101	1895	3	N	N	1	both	*	101
contig_102	7134	15	N	N	2	none	*	102,-4144
contig_103	1199	4	N	N	1	both	*	103
contig_104	2991	12	N	N	2	both	*	104
contig_105	2722	13	N	N	2	both	*	105
contig_106	5285	3	N	N	1	both	*	106
contig_107	1730	3	N	N	1	both	*	107
contig_108	4546	18	N	N	2	both	*	108
contig_109	4335	21	N	N	3	none	*	9,9,109,4600,4602
contig_110	2464	23	N	N	3	both	*	110
contig_111	2768	4	N	N	1	both	*	111
contig_112	917	12	N	N	2	both	*	112
contig_113	2812	11	N	N	1	both	*	113
contig_114	1705	7	N	N	1	both	*	114
contig_115	3772	35	N	N	4	none	*	-116,115,-116,116
contig_118	4293	9	N	N	1	both	*	118
contig_119	11179	5	N	N	1	both	*	119
contig_120	2471	3	N	N	1	right	*	120,7311
contig_121	2456	5	N	N	1	both	*	121
contig_122	3769	4	N	N	1	both	*	122
contig_123	7260	4	N	N	1	both	*	123
contig_124	2035	3	N	N	1	both	*	124
contig_127	4255	5	N	N	1	both	*	127
contig_128	4516	8	N	N	1	none	*	128,125,126,-130,130,-126,-125
contig_129	2586	38	N	N	5	none	*	129,-1659
contig_132	1660	5	N	N	1	both	*	132
contig_134	2117	3	N	N	1	both	*	134
contig_135	5515	8	N	N	1	right	*	135,-6492
contig_138	1282	3	N	N	1	both	*	138
contig_139	1273	5	N	N	1	both	*	139
contig_141	5954	10	Y	N	1	none	*	141
contig_142	1210	20	N	N	3	both	*	142
contig_143	2423	3	N	N	1	both	*	143
contig_144	4498	3	N	N	1	both	*	144
contig_145	1855	5	N	N	1	both	*	145
contig_146	3984	8	N	N	1	both	*	146
contig_147	2120	5	N	N	1	both	*	147
contig_148	2484	3	N	N	1	both	*	148
contig_149	1190	4	N	N	1	both	*	149
contig_150	3854	15	N	N	2	both	*	150
contig_151	2749	6	N	N	1	both	*	151
contig_152	1593	12	N	N	2	both	*	152
contig_154	4984	4	Y	N	1	none	*	154
contig_155	1385	3	N	N	1	both	*	155
contig_156	4686	11	N	N	1	both	*	156
contig_157	2715	8	N	N	1	both	*	157
contig_158	3941	3	N	N	1	both	*	158
contig_160	5037	4	N	N	1	both	*	160
contig_161	3650	35	N	N	4	both	*	161
contig_162	3740	7	N	N	1	both	*	162
contig_165	5099	7	N	N	1	both	*	165
contig_166	5054	5	N	N	1	both	*	166
contig_167	4066	3	N	N	1	both	*	167
contig_168	2589	5	N	N	1	both	*	168
contig_171	1958	13	N	N	2	both	*	171
contig_172	1813	3	N	N	1	both	*	172
contig_173	2158	4	N	N	1	both	*	173
contig_174	2004	3	N	N	1	both	*	174
contig_175	10750	16	N	N	2	left	*	-6504,175,1847,1847
contig_176	3819	5	N	N	1	both	*	176
contig_178	4061	4	N	N	1	both	*	178
contig_179	3539	4	N	N	1	both	*	179
contig_181	2191	3	N	N	1	both	*	181
contig_182	3084	10	N	N	1	both	*	182
contig_183	3708	3	N	N	1	both	*	183
contig_184	6385	3	N	N	1	both	*	184
contig_186	3494	13	N	N	2	both	*	-185,186,185,6507
contig_188	1602	33	N	N	4	both	*	188
contig_189	2415	7	N	N	1	both	*	189
contig_191	2254	8	N	N	1	both	*	191
contig_192	6596	10	N	N	1	both	*	192
contig_193	2334	3	N	N	1	both	*	193
contig_194	8792	7	N	N	1	both	*	194
contig_195	4464	12	N	N	2	both	*	195
contig_196	2237	3	N	N	1	both	*	196
contig_197	3388	5	N	N	1	both	*	197
contig_203	3860	5	N	N	1	both	*	203
contig_204	2686	3	N	N	1	both	*	204
contig_211	3526	3	N	N	1	both	*	211
contig_212	2154	6	N	N	1	both	*	212
contig_213	2364	3	N	N	1	both	*	213
contig_218	4206	4	N	N	1	both	*	218
contig_219	3760	46	N	N	6	none	*	-215,216,219,888,-888
contig_220	5490	12	N	N	2	both	*	220
contig_221	3060	3	N	N	1	both	*	221
contig_222	1444	15	N	N	2	both	*	222
contig_223	4205	25	N	N	3	both	*	223
contig_224	3629	3	N	N	1	both	*	224
contig_233	1604	19	N	N	2	both	*	233
contig_234	9605	65	N	N	8	none	*	227,-228,-227,234,2347,-2347,2347,-2347
contig_235	5246	7	N	N	1	both	*	235
contig_236	8020	10	N	N	1	left	*	236,-237
contig_238	3812	3	N	N	1	both	*	238
contig_239	6418	9	N	N	1	none	*	-240,239,240
contig_241	2525	3	N	N	1	both	*	241
contig_242	2492	3	N	N	1	both	*	242
contig_244	4547	22	N	N	3	both	*	244
contig_246	3831	3	N	N	1	both	*	246
contig_247	2836	4	N	N	1	left	*	247,-248
contig_249	2675	7	N	N	1	both	*	249
contig_250	1054	5	N	N	1	both	*	250
contig_252	2852	3	N	N	1	both	*	252
contig_253	2762	4	N	N	1	both	*	253
contig_254	5937	8	N	N	1	both	*	254
contig_255	4081	5	N	N	1	both	*	6514,255,-6514
contig_256	10735	3	N	N	1	both	*	256
contig_257	3978	9	N	N	1	none	*	-6515,257,6515
contig_259	3826	3	N	N	1	both	*	259
contig_260	7277	13	N	N	2	both	*	260
contig_261	12518	14	N	N	2	both	*	261
contig_262	5723	8	Y	N	1	none	*	262
contig_263	2514	22	N	N	3	none	*	-265,263,265
contig_264	1201	12	N	N	2	both	*	264
contig_266	1212	6	N	N	1	both	*	266
contig_267	5539	3	N	N	1	both	*	267
contig_268	2762	3	N	N	1	both	*	268
contig_269	2618	18	N	N	2	both	*	269
contig_270	3454	10	N	N	1	both	*	270
contig_271	5802	3	N	N	1	both	*	271
contig_272	7009	16	N	N	2	both	*	272
contig_275	10296	25	N	N	3	none	*	275,-274,-274,-274
contig_276	5803	9	N	N	1	both	*	276
contig_277	3623	4	N	N	1	both	*	277
contig_278	3055	5	N	N	1	both	*	278
contig_279	1241	5	N	N	1	both	*	279
contig_280	2448	4	N	N	1	both	*	280
contig_281	2515	3	N	N	1	both	*	281
contig_282	1918	5	N	N	1	both	*	282
contig_283	4031	5	N	N	1	both	*	283
contig_284	2504	3	N	N	1	both	*	284
contig_285	7560	5	N	N	1	both	*	285
contig_286	2670	6	N	N	1	both	*	286
contig_287	2492	3	N	N	1	both	*	287
contig_288	2016	6	N	N	1	both	*	288
