#seq_name	length	coverage
contig_1	649	235
contig_10	803	266
contig_100	3778	79
contig_101	6689	133
contig_102	14078	26
contig_103	3469	3
contig_104	2700	41
contig_105	3663	4
contig_106	2296	6
contig_107	3055	118
contig_108	3977	4
contig_109	2234	3
contig_11	538	20
contig_110	3841	5
contig_111	1032	68
contig_112	1387	126
contig_113	558	27
contig_114	603	34
contig_115	899	53
contig_116	769	16
contig_117	617	8
contig_118	1048	121
contig_119	1229	22
contig_12	1076	101
contig_120	651	46
contig_121	942	111
contig_122	889	9
contig_123	553	20
contig_124	1186	81
contig_125	580	20
contig_126	8537	141
contig_127	1620	69
contig_128	554	12
contig_129	504	327
contig_13	492	13
contig_130	458	4
contig_131	722	66
contig_132	661	405
contig_133	2230	117
contig_134	582	109
contig_135	2349	5
contig_136	2780	4
contig_14	1534	533
contig_141	1524	264
contig_142	794	65
contig_144	1281	271
contig_146	527	71
contig_148	3666	90
contig_149	2856	140
contig_15	633	35
contig_150	1092	34
contig_151	1177	23
contig_152	1394	39
contig_153	1200	75
contig_154	4084	12
contig_155	6476	5
contig_156	2357	8
contig_157	3095	7
contig_158	2397	7
contig_159	2380	6
contig_160	4312	286
contig_161	2386	3
contig_162	682	217
contig_163	628	216
contig_164	1892	138
contig_165	4172	4
contig_166	2400	7
contig_167	3971	4
contig_168	600	420
contig_169	1871	767
contig_17	687	214
contig_170	645	99
contig_171	559	43
contig_172	2139	588
contig_173	1305	492
contig_174	903	217
contig_18	571	28
contig_180	1548	20
contig_181	8368	44
contig_182	650	18
contig_183	1868	101
contig_184	4048	5
contig_185	2246	274
contig_186	3234	11
contig_188	4373	6
contig_189	913	198
contig_19	1542	325
contig_190	884	189
contig_191	671	194
contig_192	561	178
contig_193	881	74
contig_194	2713	8
contig_195	2655	9
contig_196	2944	5
contig_197	2295	7
contig_198	2832	21
contig_199	2420	8
contig_20	1253	8
contig_200	2585	4
contig_201	2865	10
contig_202	591	8
contig_203	8052	20
contig_204	3108	20
contig_205	4168	4
contig_206	2741	9
contig_207	2171	4
contig_208	3398	11
contig_209	2110	20
contig_21	524	145
contig_210	1203	139
contig_211	524	19
contig_212	1268	332
contig_213	4298	8
contig_214	2506	13
contig_215	463	5
contig_216	1483	79
contig_217	505	70
contig_218	1133	55
contig_219	529	63
contig_22	606	781
contig_220	2868	9
contig_221	2301	4
contig_222	2573	5
contig_223	1173	17
contig_224	1723	21
contig_225	2179	18
contig_226	3877	3
contig_227	2491	3
contig_228	1936	7
contig_229	1115	5
contig_23	575	17
contig_230	561	200
contig_231	553	88
contig_232	511	21
contig_233	486	134
contig_234	986	204
contig_235	2384	5
contig_236	3018	11
contig_237	2603	4
contig_238	2500	63
contig_239	2670	6
contig_240	2883	4
contig_241	3048	145
contig_242	2704	6
contig_243	2299	181
contig_244	2715	130
contig_245	2196	203
contig_246	2250	4
contig_247	3576	7
contig_248	2241	28
contig_249	1841	18
contig_25	2531	206
contig_250	2889	107
contig_251	1518	94
contig_252	2789	7
contig_253	1280	73
contig_254	899	13
contig_255	1054	72
contig_256	4384	74
contig_258	5000	7
contig_26	617	21
contig_265	3010	49
contig_266	6617	62
contig_268	1336	4
contig_269	4012	139
contig_27	478	30
contig_270	2283	6
contig_271	4973	25
contig_272	1495	20
contig_273	1050	20
contig_274	728	12
contig_275	700	11
contig_276	4682	209
contig_277	466	8
contig_278	4774	29
contig_279	807	125
contig_28	3494	433
contig_280	716	73
contig_281	537	77
contig_282	2655	36
contig_283	884	43
contig_284	506	34
contig_285	562	117
contig_286	529	144
contig_287	592	254
contig_288	1224	1048
contig_289	2372	4
contig_29	1252	121
contig_290	1595	27
contig_291	2216	4
contig_292	2468	65
contig_293	2331	4
contig_294	2867	3
contig_295	1293	31
contig_296	2527	5
contig_297	4892	63
contig_298	2247	193
contig_299	2682	27
contig_3	496	15
contig_30	463	5
contig_300	1131	26
contig_301	1671	3
contig_302	2047	27
contig_303	2889	4
contig_305	3210	3
contig_306	2778	6
contig_307	2346	15
contig_308	2349	4
contig_309	2410	3
contig_310	6606	21
contig_312	1099	4
contig_313	1155	11
contig_314	3310	9
contig_315	2278	480
contig_316	2813	3
contig_318	5159	7
contig_32	515	23
contig_320	2603	8
contig_321	3034	44
contig_322	2015	15
contig_323	3307	186
contig_324	2667	13
contig_326	10200	23
contig_327	1127	6
contig_328	3222	4
contig_329	3289	3
contig_33	547	8
contig_330	1414	846
contig_331	2275	268
contig_332	2613	23
contig_333	2958	4
contig_334	2637	8
contig_335	2367	3
contig_336	8167	4
contig_337	2487	4
contig_338	2311	9
contig_339	3326	263
contig_34	1071	473
contig_340	1206	20
contig_341	2982	5
contig_342	1844	20
contig_343	5986	4
contig_344	2669	6
contig_345	2298	5
contig_346	2286	183
contig_347	2391	364
contig_348	2540	3
contig_349	5499	5
contig_350	1495	4
contig_354	1919	223
contig_355	2890	3
contig_356	6199	5
contig_357	2437	50
contig_358	2299	3
contig_36	2185	185
contig_361	1874	19
contig_362	3649	11
contig_363	2478	6
contig_364	3384	8
contig_365	3159	5
contig_366	4970	4
contig_368	2994	8
contig_37	832	53
contig_39	845	56
contig_4	454	100
contig_40	466	18
contig_41	756	202
contig_42	624	77
contig_43	592	28
contig_44	726	46
contig_45	509	272
contig_46	1381	58
contig_48	679	136
contig_49	2604	19
contig_5	1107	672
contig_50	11479	219
contig_51	1467	5
contig_52	2167	608
contig_53	7770	45
contig_54	2872	105
contig_55	1187	1508
contig_56	1228	55
contig_57	3193	471
contig_58	1470	287
contig_59	1946	6
contig_6	503	86
contig_60	577	140
contig_61	804	12
contig_62	1945	447
contig_63	2848	24
contig_64	3474	8
contig_65	3949	39
contig_66	2725	7
contig_67	2376	5
contig_68	836	187
contig_69	3362	183
contig_7	559	11
contig_70	511	60
contig_71	2681	150
contig_72	2474	220
contig_73	2069	5
contig_75	7390	97
contig_76	4418	106
contig_8	708	110
contig_81	1720	63
contig_82	1371	142
contig_86	3033	41
contig_87	3988	48
contig_88	567	85
contig_90	1265	80
contig_91	838	19
contig_92	2267	34
contig_94	2768	100
contig_95	2172	35
contig_96	896	68
contig_97	1346	20
contig_99	14369	121
