#seq_name	length	coverage
contig_1	2671	36
contig_10	5126	15
contig_100	3994	42
contig_1001	910	15
contig_1002	3168	13
contig_1004	4155	31
contig_1005	3210	31
contig_1006	1153	20
contig_1007	659	197
contig_1008	571	80
contig_1009	1508	122
contig_101	1787	38
contig_1010	639	142
contig_1011	1131	145
contig_1012	1337	11
contig_1013	4214	20
contig_1014	2384	26
contig_1015	2763	9
contig_1016	5772	31
contig_1018	4664	21
contig_1019	3904	19
contig_102	6925	38
contig_1021	1038	40
contig_1023	1319	18
contig_1024	1923	16
contig_1025	3127	21
contig_1026	1662	13
contig_1027	1518	11
contig_1028	5250	29
contig_1029	7265	23
contig_103	914	13
contig_1030	4416	59
contig_1031	3705	7
contig_1032	1135	82
contig_1033	666	10
contig_1038	2676	19
contig_1039	450	15
contig_104	2910	395
contig_1040	11873	53
contig_1046	2024	15
contig_1047	1745	42
contig_1048	1089	16
contig_1049	502	20
contig_105	2866	11
contig_1051	2212	16
contig_1052	3422	21
contig_1053	2892	9
contig_1054	8947	6
contig_1055	2673	42
contig_1056	1881	10
contig_1057	2620	6
contig_1058	3331	6
contig_1059	6536	42
contig_106	4645	294
contig_1060	1672	28
contig_1061	2090	12
contig_1062	1491	14
contig_1063	1845	15
contig_1065	1376	6
contig_1066	1071	5
contig_1067	2381	17
contig_1068	4287	14
contig_1069	5065	9
contig_107	1697	31
contig_1070	4000	28
contig_1071	2885	16
contig_1072	2261	13
contig_1073	1440	18
contig_1074	1691	18
contig_1075	2435	68
contig_1076	2613	69
contig_1078	4996	26
contig_1079	5318	35
contig_108	4538	538
contig_1080	7814	47
contig_1081	3077	17
contig_1082	3279	16
contig_1085	3318	32
contig_1086	3208	20
contig_1087	2647	8
contig_1088	1785	8
contig_1089	1637	16
contig_109	4346	30
contig_1090	3660	19
contig_1091	6248	19
contig_1093	1765	9
contig_1094	7258	21
contig_1096	3378	17
contig_1097	4389	5
contig_1098	4414	16
contig_1099	2519	146
contig_11	4672	19
contig_110	2484	775
contig_1100	1196	65
contig_1101	571	124
contig_1102	3994	21
contig_1103	567	19
contig_1104	4087	68
contig_1105	4290	21
contig_1106	3552	20
contig_1107	6661	20
contig_1108	3628	24
contig_1109	1335	27
contig_111	2548	30
contig_1110	2412	28
contig_1111	1601	51
contig_1112	2717	16
contig_1113	2807	72
contig_1114	1281	51
contig_1115	1554	82
contig_1116	805	86
contig_1117	2916	20
contig_1118	4920	25
contig_1119	5116	19
contig_112	851	67
contig_1120	1983	20
contig_1121	3892	17
contig_1122	718	3
contig_1123	7401	21
contig_1124	2482	59
contig_1125	1733	10
contig_1126	1362	24
contig_1127	3611	19
contig_1128	4947	43
contig_1129	3841	20
contig_113	2799	14
contig_1130	2691	18
contig_1131	1346	25
contig_1132	702	205
contig_1133	1020	192
contig_1134	629	122
contig_1135	863	195
contig_1136	539	34
contig_1137	4135	41
contig_1138	4719	17
contig_1139	4391	13
contig_114	1709	20
contig_1140	1634	15
contig_1141	2997	13
contig_1142	1654	74
contig_1143	1431	111
contig_1144	2876	50
contig_1145	10234	23
contig_1147	5651	24
contig_1148	3758	40
contig_1149	4673	130
contig_115	3335	50
contig_1150	2418	19
contig_1151	6050	15
contig_1153	1234	25
contig_1154	3409	16
contig_1155	2347	20
contig_1156	1573	18
contig_1157	1212	29
contig_1158	1616	8
contig_1159	2224	24
contig_1160	994	20
contig_1161	1858	59
contig_1162	2786	20
contig_1163	3545	52
contig_1164	2006	21
contig_1165	2537	27
contig_1166	4005	23
contig_1167	1903	15
contig_1168	2002	14
contig_1169	2246	9
contig_117	4512	301
contig_1172	5051	21
contig_1173	3814	10
contig_1174	3335	15
contig_1175	4752	26
contig_1176	15186	19
contig_1177	1570	20
contig_1179	3057	39
contig_118	4718	20
contig_1180	3036	49
contig_1181	4050	14
contig_1182	1891	12
contig_1183	2872	12
contig_1184	2239	14
contig_1186	5705	18
contig_1187	4683	4
contig_1189	1109	13
contig_119	10477	22
contig_1190	1518	29
contig_1191	1462	19
contig_1192	792	105
contig_1193	2473	17
contig_1194	5215	40
contig_1196	2566	17
contig_1197	2792	29
contig_1199	5118	23
contig_12	4263	20
contig_1200	6543	68
contig_1201	3425	22
contig_1202	3257	19
contig_1203	2462	24
contig_1204	2290	25
contig_1208	794	36
contig_1209	4633	52
contig_121	2286	141
contig_1210	7005	12
contig_1211	7530	20
contig_1212	2389	29
contig_1213	3080	20
contig_1214	2606	13
contig_1217	6837	65
contig_1218	1260	49
contig_1219	1214	13
contig_122	4802	26
contig_1220	2762	20
contig_1221	4955	86
contig_1222	3780	31
contig_1223	5157	19
contig_1224	4456	19
contig_1225	1985	27
contig_1226	3221	20
contig_1227	4436	24
contig_1228	1273	17
contig_1229	5137	20
contig_123	6553	27
contig_1230	2782	25
contig_1231	3192	21
contig_1232	2340	14
contig_1233	3586	31
contig_1234	8749	48
contig_1235	9035	26
contig_1236	2573	31
contig_1237	1302	14
contig_1239	1612	6
contig_124	1803	20
contig_1240	7070	20
contig_1242	3039	12
contig_1243	1248	59
contig_1244	5381	23
contig_1249	7762	18
contig_1250	2022	20
contig_1251	3884	23
contig_1252	786	3
contig_1253	4036	38
contig_1254	2527	21
contig_1255	4133	47
contig_1256	1223	10
contig_1257	4730	39
contig_1258	7266	20
contig_1259	2511	31
contig_1260	3569	31
contig_1261	6048	7
contig_1262	10411	6
contig_1263	3313	11
contig_1264	3355	24
contig_1265	3045	12
contig_1266	1151	28
contig_1267	494	3
contig_1268	3214	127
contig_1269	583	67
contig_127	3563	22
contig_1270	6276	11
contig_1271	2507	20
contig_1272	2938	14
contig_1273	3718	17
contig_1274	2689	16
contig_1276	3054	15
contig_1278	5331	18
contig_128	4005	26
contig_1280	2176	21
contig_1281	2031	68
contig_1282	3948	19
contig_1283	1543	16
contig_1284	1930	30
contig_1285	6149	22
contig_1286	3695	28
contig_1287	557	135
contig_1288	1668	21
contig_1289	1715	52
contig_129	2618	113
contig_1290	5365	18
contig_1291	3087	53
contig_1292	1337	13
contig_1293	828	132
contig_1294	986	51
contig_1296	2379	47
contig_1297	4079	20
contig_1298	1772	39
contig_1299	6457	19
contig_13	702	20
contig_1300	5172	17
contig_1301	1874	15
contig_1302	3237	18
contig_1304	5244	102
contig_1305	3199	9
contig_1306	3120	31
contig_1307	514	60
contig_1308	1438	25
contig_1309	4024	19
contig_131	1337	28
contig_1310	2269	40
contig_1311	3200	20
contig_1312	2096	20
contig_1313	7758	27
contig_1314	5792	19
contig_1315	1352	14
contig_1317	1050	39
contig_1318	1927	20
contig_1319	2349	18
contig_132	1661	20
contig_1320	3137	13
contig_1321	2917	21
contig_1322	1289	43
contig_1323	2351	29
contig_1324	2249	39
contig_1325	3609	16
contig_1326	5169	23
contig_1329	1975	15
contig_133	1208	11
contig_1330	6270	36
contig_1331	14174	5
contig_1332	2936	15
contig_1333	2554	20
contig_1334	750	13
contig_1335	15365	57
contig_1336	1904	24
contig_1337	5973	17
contig_1338	4203	14
contig_1339	2686	19
contig_134	1994	48
contig_1340	2014	11
contig_1341	3286	17
contig_1342	6942	79
contig_1343	7228	20
contig_1344	1675	15
contig_1345	1670	20
contig_1346	2090	20
contig_1347	4986	41
contig_1348	4198	7
contig_1349	4978	11
contig_135	5332	10
contig_1350	1153	4
contig_1352	12518	18
contig_1353	4634	83
contig_1354	1224	17
contig_1356	2425	11
contig_1357	1798	19
contig_1358	2383	19
contig_1359	2827	12
contig_136	1586	46
contig_1360	2177	13
contig_1361	1619	11
contig_1362	1700	11
contig_1363	4742	15
contig_1364	7345	49
contig_1365	2377	9
contig_1366	659	8
contig_1369	4913	31
contig_137	1568	11
contig_1370	3600	22
contig_1371	3122	35
contig_1372	10854	20
contig_1373	4458	30
contig_1374	1292	23
contig_1376	5391	33
contig_1377	4289	35
contig_1378	2765	21
contig_1379	2623	21
contig_138	1258	20
contig_1380	2077	16
contig_1381	2464	5
contig_1382	1372	89
contig_1383	1521	18
contig_1384	1736	20
contig_1385	4993	20
contig_1386	1654	20
contig_1387	2850	12
contig_1388	2122	10
contig_1389	2336	20
contig_139	1291	15
contig_1390	2446	8
contig_1391	7431	20
contig_1392	2708	21
contig_1393	3328	10
contig_1394	1602	12
contig_1395	3124	17
contig_1396	2410	18
contig_1397	589	13
contig_1398	5535	34
contig_14	434	5
contig_1401	725	5
contig_1402	8980	8
contig_1403	2748	18
contig_1404	3950	458
contig_1405	1016	470
contig_1406	5539	225
contig_1407	2062	29
contig_1408	3365	27
contig_1409	4934	28
contig_141	6353	40
contig_1410	5187	27
contig_1411	1784	19
contig_1412	2049	17
contig_1413	3036	12
contig_1414	2936	22
contig_1415	2921	28
contig_1416	508	28
contig_1417	4278	20
contig_1419	1564	27
contig_142	1210	35
contig_1420	1374	13
contig_1421	2903	18
contig_1422	3322	21
contig_1423	1202	30
contig_1424	4680	16
contig_1425	2795	13
contig_1426	2886	38
contig_1427	4170	20
contig_1428	2300	28
contig_1429	823	16
contig_143	2673	20
contig_1430	5342	8
contig_1431	2400	16
contig_1432	2961	60
contig_1433	548	214
contig_1434	1736	73
contig_1435	1840	37
contig_1437	4736	68
contig_1438	1271	138
contig_1439	6919	22
contig_144	4138	16
contig_1440	3440	23
contig_1442	4346	13
contig_1443	5811	18
contig_1444	4587	19
contig_1445	5228	14
contig_1446	2531	20
contig_1449	2829	18
contig_145	1735	33
contig_1450	554	4
contig_1451	2265	28
contig_1452	2560	38
contig_1453	2259	13
contig_1454	1341	18
contig_1456	7476	89
contig_1457	3096	6
contig_1459	8023	14
contig_146	4004	28
contig_1461	1344	29
contig_1462	5412	25
contig_1463	2869	15
contig_1464	2158	3
contig_1465	3543	37
contig_1466	2066	9
contig_1467	1115	18
contig_1468	1176	11
contig_1469	3850	39
contig_147	2195	15
contig_1470	2879	16
contig_1471	2434	19
contig_1472	8587	15
contig_1473	1100	3
contig_1474	824	6
contig_1475	4341	13
contig_1476	2223	18
contig_1477	733	45
contig_1478	1881	28
contig_1479	1516	43
contig_148	2499	8
contig_1480	1424	13
contig_1481	2655	21
contig_1482	3884	15
contig_1483	2489	12
contig_1484	4425	71
contig_1485	1285	20
contig_1486	1497	4
contig_1487	1522	19
contig_1488	4538	21
contig_1490	3022	19
contig_1491	1065	91
contig_1492	1585	95
contig_1493	602	33
contig_1494	580	59
contig_1495	3277	22
contig_1496	1973	44
contig_1497	2592	27
contig_1498	7622	24
contig_1499	9227	28
contig_15	852	20
contig_150	3873	78
contig_1500	4020	19
contig_1501	4562	19
contig_1502	2101	18
contig_1503	4674	98
contig_1504	1472	38
contig_1506	795	101
contig_1507	1694	80
contig_1508	4039	55
contig_1509	1816	15
contig_151	2633	17
contig_1510	1232	37
contig_1511	511	4
contig_1512	1738	24
contig_1513	1368	24
contig_1514	4633	17
contig_1515	1628	4
contig_1516	3928	19
contig_1517	4356	20
contig_1518	3598	16
contig_1519	2377	32
contig_152	1593	27
contig_1520	575	75
contig_1521	1932	67
contig_1522	3777	52
contig_1523	2733	30
contig_1524	3158	30
contig_1525	4326	18
contig_1527	2782	42
contig_1528	2209	28
contig_1529	3115	11
contig_153	1896	17
contig_1530	3126	38
