#seq_name	length	coverage
contig_1	2820	3
contig_62	1467	5
contig_90	1710	4
contig_66	1044	3
contig_84	1221	25
contig_121	3216	4
contig_70	5499	5
contig_123	2408	3
contig_85	1775	25
contig_124	2218	3
contig_122	3477	6
contig_126	4212	3
contig_127	2598	3
contig_125	3018	11
contig_135	939	24
contig_75	2920	16
contig_88	1846	65
contig_83	6806	20
contig_138	2229	5
contig_137	4089	19
contig_152	2469	4
contig_136	2330	4
contig_157	2016	22
contig_67	1541	136
contig_155	2660	15
contig_171	2283	6
contig_65	1258	401
contig_173	2528	7
contig_174	2550	5
contig_187	2491	3
contig_192	2477	9
contig_165	3218	49
contig_175	5079	9
contig_194	2603	9
contig_195	2209	3
contig_196	2728	3
contig_163	4660	35
contig_200	3944	3
contig_201	3971	4
contig_69	1451	352
contig_198	2269	45
contig_202	1490	23
contig_204	2397	7
contig_203	2574	7
contig_205	2355	3
contig_206	1501	7
contig_207	2409	7
contig_87	6442	66
contig_68	3089	236
contig_210	2295	7
contig_193	2238	31
contig_208	3015	4
contig_91	3209	5
contig_217	2182	5
contig_218	2296	6
contig_153	5986	12
contig_220	2552	5
contig_225	1408	13
contig_222	596	105
contig_221	2797	9
contig_63	1113	680
contig_231	2306	5
contig_227	1004	21
contig_219	2709	24
contig_212	2354	4
contig_234	1127	6
contig_224	1533	118
contig_232	2283	12
contig_199	2447	6
contig_238	2247	5
contig_237	3643	9
contig_239	2233	4
contig_244	2512	3
contig_245	2690	3
contig_233	2653	5
contig_211	2468	85
contig_246	4586	2
contig_228	2293	3
contig_243	1174	167
contig_249	1140	3
contig_251	2608	3
contig_235	4753	24
contig_253	2998	4
contig_223	5223	77
contig_255	2585	4
contig_256	2687	3
contig_252	2972	9
contig_262	2802	3
contig_247	2817	12
contig_260	1022	44
contig_263	2649	3
contig_261	1149	34
contig_250	3999	15
contig_266	2605	3
contig_264	2372	4
contig_265	3148	3
contig_268	2818	5
contig_242	2540	30
contig_267	1516	30
contig_271	2500	3
contig_272	5986	4
contig_274	3003	3
contig_273	3084	8
contig_275	2392	4
contig_276	2954	5
contig_279	2881	3
contig_280	2547	3
contig_269	1555	28
contig_277	4298	8
contig_281	2349	4
contig_285	2282	3
contig_240	2995	104
contig_284	2704	6
contig_151	2610	282
contig_286	3841	5
contig_288	2299	3
contig_290	2346	15
contig_258	8539	25
contig_292	2357	8
contig_293	2247	3
contig_129	12814	70
contig_301	1385	7
contig_278	5192	4
contig_309	2740	3
contig_310	2376	5
contig_291	8505	13
contig_303	2694	4
contig_302	2658	20
contig_287	8778	19
contig_311	1486	20
contig_316	1362	6
contig_282	3820	5
contig_64	2010	348
contig_319	2600	4
contig_270	2860	27
contig_300	6884	20
contig_209	2297	251
contig_324	2509	13
contig_327	2322	11
contig_328	2263	3
contig_320	2458	3
contig_331	2420	3
contig_313	4380	41
contig_315	2219	3
contig_326	3448	3
contig_318	2918	4
contig_335	3429	3
contig_336	2412	4
contig_325	2240	6
contig_338	2637	8
contig_339	4373	6
contig_334	2222	4
contig_350	2386	3
contig_337	2414	4
contig_352	2670	6
contig_333	9192	12
contig_344	5031	16
contig_353	3985	9
contig_355	2573	5
contig_356	2557	3
contig_357	2868	9
contig_358	3760	3
contig_360	2362	6
contig_323	9925	35
contig_359	4117	6
contig_330	7016	3
contig_283	2294	73
contig_370	2311	9
contig_371	3663	4
contig_346	3296	7
contig_372	3310	9
contig_289	3738	4
contig_363	2716	6
contig_376	2420	3
contig_374	3173	13
contig_341	8146	30
contig_378	2601	4
contig_379	3576	7
contig_381	2509	5
contig_351	3685	5
contig_361	2614	8
contig_382	2009	13
contig_384	2359	3
contig_385	2474	3
contig_390	2289	3
contig_395	2400	7
contig_380	2821	36
contig_375	6943	20
contig_398	2204	3
contig_373	4185	3
contig_400	2620	5
contig_399	3469	3
contig_391	5773	3
contig_254	2253	276
contig_401	2198	3
contig_402	2380	6
contig_404	2349	5
contig_403	3302	3
contig_405	2725	7
contig_394	3182	43
contig_407	2283	3
contig_410	2545	3
contig_409	3109	12
contig_414	2515	3
contig_412	2599	13
contig_413	2307	3
contig_417	1513	22
contig_415	2248	3
contig_383	5382	22
contig_420	1979	5
contig_397	2990	5
contig_354	2180	5
contig_422	4172	4
contig_424	1446	5
contig_377	2216	66
contig_421	2084	3
contig_427	3289	3
contig_428	2460	3
contig_430	2547	3
contig_429	2655	9
contig_432	2527	5
contig_423	3392	21
contig_416	12325	16
contig_431	7236	3
contig_418	2252	7
contig_425	2233	3
contig_438	3930	3
contig_437	3958	4
contig_419	4570	41
contig_439	2587	3
contig_441	2357	3
contig_444	3472	7
contig_443	2292	23
contig_433	3108	43
contig_442	2743	17
contig_426	2498	3
contig_448	2680	4
contig_150	18632	83
contig_440	5569	19
contig_450	2066	3
contig_436	4086	53
contig_451	2714	9
contig_449	2374	17
contig_455	2391	3
contig_452	2741	9
contig_457	2280	3
contig_454	3490	2
contig_458	2410	3
contig_241	3901	44
contig_461	2606	3
contig_460	2810	4
contig_463	2540	3
contig_332	1843	383
contig_453	2576	4
contig_464	3095	7
contig_462	4611	3
contig_467	2301	4
contig_468	2863	3
contig_466	2808	19
contig_473	3753	4
contig_476	2944	5
contig_477	2860	5
contig_469	2301	5
contig_475	2367	3
contig_479	2069	5
contig_481	2449	3
contig_484	2440	4
contig_456	6405	31
contig_483	4084	12
contig_491	2242	3
contig_445	4380	56
contig_406	2559	32
contig_492	1871	3
contig_465	18384	16
contig_497	2767	3
contig_485	1546	78
contig_486	4587	30
contig_498	2343	6
contig_329	4168	37
contig_500	5497	5
contig_446	2415	268
contig_502	3977	4
contig_501	2865	10
contig_504	2889	4
contig_503	3291	3
contig_508	2326	5
contig_506	2778	6
contig_509	2487	4
contig_496	2365	6
contig_507	2635	8
contig_512	2844	3
contig_510	1933	5
contig_482	3578	4
contig_490	2216	3
contig_522	2684	3
contig_521	2364	3
contig_392	4380	61
contig_520	4038	18
contig_518	1083	71
contig_523	3324	16
contig_529	1336	4
contig_530	2299	3
contig_525	2420	8
contig_526	2481	3
contig_532	2898	4
contig_535	2418	3
contig_534	2383	6
contig_524	2430	6
contig_533	2326	14
contig_519	4169	10
contig_547	3342	5
contig_411	1428	254
contig_545	1325	24
contig_537	1195	20
contig_548	2586	10
contig_549	2500	3
contig_558	985	19
contig_557	2747	32
contig_565	1446	21
contig_515	6222	44
contig_546	2228	5
contig_511	2988	47
contig_552	2255	26
contig_574	2912	5
contig_551	3877	4
contig_570	2088	25
contig_578	1842	18
contig_582	4169	4
contig_580	3805	4
contig_577	3267	33
contig_60	11606	241
contig_581	2313	42
contig_584	2695	3
contig_586	2346	3
contig_579	2455	3
contig_585	3224	6
contig_573	3132	41
contig_589	6476	5
contig_593	2819	7
contig_588	3155	3
contig_459	3508	18
contig_583	4522	44
contig_592	3052	3
contig_568	7547	36
contig_575	8742	23
contig_594	7923	14
contig_595	4982	21
contig_542	3060	4
contig_602	2580	3
contig_600	5153	6
contig_601	8151	4
contig_590	2068	8
contig_605	2635	5
contig_599	2264	36
contig_610	2311	3
contig_603	2475	9
contig_608	2067	20
contig_609	1072	37
contig_604	2865	6
contig_613	2759	9
contig_611	2425	8
contig_607	2460	62
contig_597	3448	10
contig_616	1661	17
contig_619	3160	5
contig_531	2326	225
contig_617	2147	29
contig_623	4112	5
contig_627	2555	4
contig_596	5012	64
contig_598	2843	38
contig_614	2626	4
contig_499	5971	66
contig_591	1075	107
contig_637	5776	5
contig_626	2294	19
contig_632	5967	5
contig_618	3456	2
contig_620	4492	8
contig_493	4949	171
contig_9	569	20
contig_480	2265	346
contig_8	509	35
contig_615	9282	42
contig_15	276	90
contig_14	595	101
contig_5	908	321
contig_10	554	178
contig_643	8786	66
contig_18	430	7
contig_628	2844	3
contig_447	2176	1002
contig_4	562	571
contig_22	540	12
contig_16	597	75
contig_630	2347	53
contig_24	352	1
contig_11	672	318
contig_17	4978	1
contig_21	582	84
contig_20	735	21
contig_13	768	505
contig_28	331	52
contig_23	530	192
contig_541	2614	9
contig_25	490	110
contig_35	667	42
contig_7	698	830
contig_33	83	0
contig_34	711	43
contig_41	447	39
contig_42	571	46
contig_12	1873	109
contig_36	461	74
contig_49	465	20
contig_47	246	6
contig_29	864	386
contig_44	570	57
contig_43	431	30
contig_45	511	2
contig_46	578	269
contig_50	565	120
contig_53	447	19
contig_52	562	7
contig_32	1268	165
contig_48	572	90
contig_19	1140	378
contig_51	564	274
contig_59	37	11
contig_57	577	20
contig_54	1528	19
contig_55	1532	61
contig_78	606	20
contig_74	577	77
contig_92	561	85
contig_77	655	57
contig_3	1109	1785
contig_38	848	643
contig_93	821	84
contig_97	757	30
contig_94	619	98
contig_79	847	108
contig_95	783	20
contig_31	1089	223
contig_98	628	52
contig_99	544	47
contig_27	1107	833
contig_100	742	33
contig_96	779	128
contig_104	648	84
contig_101	1182	68
contig_102	542	125
contig_107	906	20
contig_71	840	531
contig_108	646	18
contig_106	801	20
contig_116	880	23
contig_109	856	96
contig_115	562	19
contig_113	586	20
contig_112	781	18
contig_117	2843	1
contig_629	3678	3
contig_118	2147	3
contig_40	2229	101
contig_119	590	46
contig_39	1502	666
contig_140	495	20
contig_133	715	88
contig_131	342	27
contig_141	510	19
contig_132	733	143
contig_144	557	20
contig_142	586	12
contig_105	1749	165
contig_143	752	61
contig_146	846	16
contig_37	1673	423
contig_76	3260	209
contig_156	650	140
contig_147	935	99
contig_172	2269	7
contig_169	1090	19
contig_168	2669	14
contig_120	843	459
contig_166	1701	78
contig_164	3177	46
contig_81	7645	78
contig_170	3239	17
contig_114	1724	388
contig_148	1085	260
contig_177	935	219
contig_183	430	14
contig_180	534	283
contig_182	760	127
contig_185	147	37
contig_186	649	21
contig_134	1879	263
contig_184	128	13
contig_197	1395	3
contig_188	643	20
contig_216	651	2
contig_191	654	101
contig_189	769	70
contig_214	4957	4
contig_190	852	95
contig_154	6695	96
contig_178	739	572
contig_181	1081	270
contig_103	2755	345
contig_298	671	2
contig_297	544	5
contig_179	743	634
contig_236	4122	26
contig_317	1569	1
contig_308	234	1
contig_348	463	2
contig_305	541	164
contig_306	552	96
contig_347	4048	9
contig_230	938	53
contig_307	587	135
contig_362	2504	5
contig_366	505	20
contig_364	2812	3
contig_312	3848	26
contig_369	697	36
contig_387	568	179
contig_367	744	216
contig_368	751	150
contig_388	568	202
contig_386	788	206
contig_176	1134	725
contig_408	2946	4
contig_304	1108	330
contig_389	570	217
contig_471	867	19
contig_472	837	12
contig_487	1512	4
contig_474	1978	4
contig_478	1936	7
contig_470	1201	43
contig_488	2392	2
contig_505	4246	2
contig_489	7345	2
contig_6	2898	440
contig_527	4140	2
contig_536	2780	4
contig_494	857	126
contig_434	2373	48
contig_543	1089	79
contig_539	1031	102
contig_554	551	23
contig_553	502	11
contig_544	880	98
contig_248	8552	4
contig_555	554	44
contig_562	505	20
contig_561	505	19
contig_560	504	16
contig_559	704	31
contig_538	1035	346
contig_563	1374	19
contig_564	737	5
contig_569	2212	18
contig_612	1596	3
contig_576	2433	28
contig_587	3601	4
contig_631	3162	2
contig_633	4729	7
contig_540	1156	406
contig_634	2097	6
contig_635	3292	3
contig_111	2419	880
contig_26	2814	454
contig_640	4563	3
contig_642	2686	6
contig_641	3935	3
contig_396	5360	5
contig_550	10902	7
contig_647	13416	2
contig_638	3932	3
contig_435	6052	101
contig_648	4427	2
contig_644	8038	2
contig_649	1250	22
contig_652	2585	4
contig_651	3958	3
contig_653	3734	3
contig_655	3005	2
contig_645	5082	20
contig_646	2052	121
contig_365	4981	3
contig_654	4634	3
contig_229	2683	640
contig_659	4140	4
contig_661	2299	3
contig_658	1905	12
contig_662	2577	4
contig_663	2890	3
