#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_1335	15365	57	N	N	8	*	*,1335,*
contig_1176	15186	19	N	N	3	*	*,1176,*
contig_1331	14174	5	Y	Y	1	*	1331
contig_4103	13626	20	N	N	3	*	*,4103,*
contig_4784	13618	39	N	N	9	*	*,4784,*
contig_5404	13319	19	N	N	4	*	*,5404,*
contig_4827	13220	29	N	N	5	*	*,4827,*
contig_3835	13182	43	N	N	3	*	*,3835,*
contig_2675	12989	20	N	N	2	*	3699,2675,2676,2677,2676,*
contig_1352	12518	18	N	N	3	*	*,1352
contig_98	12415	89	N	N	14	*	-27,-26,-25,25,26,-26,-25,26,27,27,27,27,50,-50,-27,-27,-27,-26,-25,25,26,27,27,27,50,98,*
contig_7101	12317	15	N	N	3	*	*,7101,*
contig_261	12208	34	N	N	4	*	*,261,*
contig_1770	12047	10	N	N	2	*	*,1770,*
contig_1919	12032	64	N	N	6	*	*,-6735,1919,1977,-1978,-1977
contig_4468	11991	24	N	N	3	*	*,4468,*
contig_5602	11916	24	N	N	4	*	*,5602,*
contig_1040	11873	53	N	N	6	*	1034,1035,1036,1037,1040,1044,1042,1043,1045,1050,-1050,-1045,-1043,-1042
contig_4190	11807	23	N	N	2	*	*,4190,*
contig_5532	11662	22	N	N	3	*	*,5532,*
contig_4074	11655	19	N	N	4	*	*,4074,*
contig_3649	11649	23	N	N	2	*	*,6946,3649,-3651
contig_6495	11540	27	N	N	5	*	9,9,9,-46,6495,*
contig_4217	11443	11	N	N	2	*	*,4217,*
contig_3837	11359	19	N	Y	4	*	*,3837
contig_4182	11284	21	N	N	3	*	*,4182,*
contig_3402	11172	61	N	N	5	*	*,3402,*
contig_808	11143	34	Y	N	4	*	808
contig_2829	11133	48	N	N	4	*	*,2829,*
contig_3480	11120	21	N	N	1	*	*,3480,*
contig_5298	11070	18	N	N	4	*	*,5298,*
contig_425	11053	15	N	N	1	*	*,6542,425,427
contig_1372	10854	20	N	N	2	*	*,1372,*
contig_3141	10712	13	N	N	3	*	*,3141,*
contig_5199	10692	13	N	N	3	*	*,5199,*
contig_5249	10654	14	N	N	3	*	*,5249,*
contig_1749	10625	9	N	N	2	*	*,1749,*
contig_436	10611	23	N	N	3	*	433,-432,436,-471,469,473,-473,-469,471
contig_690	10531	17	N	N	1	*	-689,690,2372
contig_119	10477	22	N	N	3	*	*,119,*
contig_1262	10411	6	N	N	1	*	*,-6649,1262,6649,*
contig_3123	10373	35	N	N	3	*	-3124,-3122,3123,-3125,*
contig_928	10323	30	N	N	2	*	*,928,*
contig_175	10257	34	N	N	4	*	*,-6504,175,1847,1847
contig_3575	10252	53	N	N	5	*	*,-3573,3575,4902,-4903,4903,-4902
contig_1145	10234	23	Y	N	1	*	1145
contig_936	10199	44	N	N	4	*	*,936,*
contig_3348	10165	25	N	N	2	*	-3346,3346,3348,3354,3356,-3355
contig_450	10146	9	N	N	2	*	*,450,*
contig_4082	10058	32	N	N	4	*	*,4082,*
contig_2060	10049	16	N	N	4	*	*,2060,*
contig_2589	9975	27	N	N	6	*	*,2589,*
contig_362	9963	48	N	N	7	*	*,362,*
contig_479	9920	59	N	N	4	*	*,479,*
contig_3979	9901	21	N	N	3	*	*,3979,*
contig_5582	9869	19	Y	N	1	*	5582
contig_1752	9820	15	N	N	3	*	*,1752,*
contig_6691	9803	36	N	N	9	*	*,6691,*
contig_7142	9772	15	N	N	2	*	*,7142,*
contig_3232	9764	31	N	N	4	*	*,-7308,3232,*
contig_984	9725	18	N	N	2	*	981,982,-979,984,-3868
contig_3507	9705	30	N	N	7	*	*,3507,*
contig_4689	9594	21	N	N	4	*	*,4689,*
contig_6912	9557	21	Y	N	2	*	6912
contig_1848	9552	37	N	N	9	*	*,1848,*
contig_2715	9502	52	Y	N	6	*	2715
contig_5149	9480	21	N	N	3	*	*,5149,*
contig_5093	9450	5	N	Y	2	*	5093
contig_1785	9426	12	N	Y	2	*	*,1785
contig_6047	9411	13	N	N	3	*	*,6047,*
contig_390	9363	20	N	N	4	*	-391,390,*
contig_5156	9352	20	N	N	2	*	*,5156,*
contig_234	9294	9	N	N	1	*	227,-228,-227,234,2347,-2347,2347,-2347
contig_7009	9261	32	N	Y	2	*	7009,*
contig_5179	9259	13	N	N	1	*	5178,-5177,5179,5177,-5178
contig_5746	9248	20	N	N	5	*	*,5746,*
contig_4590	9234	28	N	N	4	*	*,4590,*
contig_1499	9227	28	N	N	2	*	*,1499,*
contig_4104	9214	25	N	N	3	*	*,4104,*
contig_2525	9168	15	N	N	1	*	*,2524,2524,2525,-2524,-2524,*
contig_1946	9158	102	N	N	8	*	*,1946,*
contig_2076	9125	27	N	N	3	*	*,2076,*
contig_2388	9116	11	N	N	1	*	*,3665,2388,-3665,*
contig_4732	9114	20	N	N	3	*	*,4732,*
contig_4366	9110	25	N	Y	2	*	4366
contig_4210	9083	33	N	N	3	*	-4209,-4206,-3261,3254,3258,4210,4206,4209,-4956
contig_4760	9066	20	N	N	5	*	*,4760,*
contig_4174	9058	19	Y	Y	1	*	4174
contig_1819	9054	27	N	N	3	*	-1818,-1817,1817,1819,1820,1821
contig_6544	9044	43	N	N	3	*	*,6544,*
contig_1235	9035	26	N	N	2	*	*,1235,*
contig_6358	9001	16	N	N	3	*	*,6358,*
contig_6995	9001	20	N	N	4	*	*,6995,*
contig_4124	8993	24	N	N	4	*	*,4124,*
contig_1402	8980	8	N	N	2	*	*,1402,*
contig_2107	8979	59	N	N	6	*	*,2107,*
contig_4236	8974	21	N	N	5	*	*,4236,*
contig_5832	8973	298	N	N	40	*	*,5832,*
contig_2870	8948	11	N	N	2	*	*,2870,*
contig_1054	8947	6	Y	Y	2	*	1054
contig_6791	8947	13	N	N	3	*	*,6791,*
contig_256	8925	20	N	N	5	*	*,256,*
contig_2827	8920	19	N	N	3	*	*,2827,*
contig_5126	8914	22	N	N	5	*	*,5126,*
contig_3218	8911	6	N	N	1	*	*,6896,3218,-6896,-6896,*
contig_702	8909	30	N	N	3	*	701,-701,-701,701,-701,701,-701,702,-706,-705,*
contig_451	8878	148	N	N	18	*	*,451,*
contig_3266	8874	19	N	Y	2	*	3266
contig_565	8856	21	N	N	3	*	*,565,*
contig_6143	8829	8	N	N	2	*	*,6143,*
contig_1540	8767	10	N	N	2	*	*,1538,6690,1540,-1539,-6690,-1538,*
contig_1234	8749	48	N	N	6	*	*,1234,*
contig_5024	8746	20	N	N	4	*	*,5024,*
contig_6834	8745	6	Y	Y	3	*	6834
contig_5285	8744	49	N	N	6	*	*,5285,*
contig_2947	8717	30	N	N	3	*	*,2947,*
contig_3154	8710	24	Y	N	2	*	3154
contig_4676	8698	26	N	N	6	*	*,4676,*
contig_3990	8673	38	N	N	9	*	*,3990,*
contig_431	8661	75	N	N	8	*	*,431,*
contig_2561	8659	17	N	N	4	*	*,2561,*
contig_6485	8648	20	N	N	5	*	*,6485,*
contig_4801	8640	12	N	N	2	*	*,-7121,4801,7121,*
contig_4419	8613	12	N	N	3	*	*,4419,*
contig_3568	8595	22	N	N	2	*	-3569,3569,3566,3568,3566,3567,-3567,3567,-3567,-3566,-3566
contig_1472	8587	15	Y	N	3	*	1472
contig_3752	8584	21	N	N	5	*	*,3752,*
contig_4636	8576	25	N	N	2	*	-4633,-4628,4629,-4630,-4629,4628,4633,4636,-5476,-5476,*
contig_5092	8570	17	N	Y	5	*	*,5092
contig_5008	8568	30	N	N	3	*	*,5008,*
contig_4454	8562	21	N	N	2	*	*,4454,*
contig_446	8515	55	N	N	6	*	*,446,*
contig_6670	8484	17	N	N	4	*	*,6670,*
contig_4731	8423	15	N	N	3	*	*,4731,*
contig_3245	8410	5	Y	Y	2	*	3245
contig_3862	8392	20	Y	N	3	*	3862
contig_194	8390	46	N	N	5	*	*,194,*
contig_6936	8348	21	Y	N	2	*	6936
contig_7327	8317	6	Y	Y	6	*	7327
contig_3688	8315	23	N	N	3	*	*,3687,3687,3688,-3687,-3687,-3687,-3687,-3687,*
contig_3443	8307	26	N	N	3	*	*,3443,*
contig_3681	8299	19	N	N	4	*	*,3681,*
contig_4064	8298	13	N	N	3	*	*,4064,*
contig_6781	8292	35	N	N	5	*	*,6781,*
contig_3437	8286	20	N	N	4	*	*,3437,*
contig_6169	8285	19	N	N	3	*	*,7309,7309,6169,-7309,*
contig_3986	8263	21	N	N	5	*	*,3986,*
contig_3137	8252	40	N	N	5	*	*,3137,*
contig_5738	8241	14	N	N	2	*	*,5738,*
contig_3357	8235	20	N	N	1	*	3357,-3355,3354,3356
contig_6614	8234	27	N	Y	2	*	*,6614
contig_848	8223	29	Y	N	2	*	848
contig_3806	8195	48	Y	N	4	*	3806
contig_3508	8194	19	N	N	2	*	*,3508,*
contig_4686	8167	19	N	N	3	*	*,4686,*
contig_90	8150	100	N	N	11	*	-47,-47,51,24,-24,-51,47,47,90,2453,2454,2458,2453
contig_6492	8144	36	N	Y	12	*	*,6492
contig_4254	8138	20	N	N	4	*	*,4254,*
contig_623	8137	29	N	N	3	*	*,623,*
contig_3172	8112	20	Y	N	2	*	3172
contig_1746	8110	20	N	N	2	*	*,1746,*
contig_2158	8103	19	N	N	1	*	-2157,-2157,2157,2157,2158,3657,-3657,3657,-3657,3658
contig_3300	8076	14	N	N	2	*	3298,3299,3298,3298,3300,-3298
contig_5104	8056	10	N	N	2	*	*,5104,*
contig_568	8051	39	N	N	5	*	*,568,*
contig_2418	8036	8	N	N	1	*	*,-2419,2418,2419,*
contig_399	8034	36	N	N	4	*	*,399,*
contig_1459	8023	14	N	N	1	*	-1460,-1458,1459,1458,1460
contig_4971	7995	31	N	N	3	*	*,4971,*
contig_5974	7983	57	N	N	9	*	*,5974,*
contig_784	7974	8	N	N	2	*	*,781,784,-781,*
contig_6726	7973	37	N	N	3	*	-1839,6726,-6727
contig_4653	7950	12	N	N	3	*	*,-7094,-4652,4653,7094,*
contig_5118	7947	23	N	N	5	*	*,5118,*
contig_5678	7932	33	N	N	3	*	*,5678,*
contig_7066	7918	49	Y	N	6	*	7066
contig_236	7912	69	N	N	6	*	*,236,-237
contig_6193	7898	37	N	N	6	*	*,6193,*
contig_4216	7877	14	N	Y	7	*	4216,*
contig_4020	7850	18	N	N	2	*	4019,4020,-4019
contig_3718	7849	20	N	N	4	*	*,3718,*
contig_1878	7845	68	N	N	6	*	*,1878,*
contig_6200	7823	20	Y	Y	6	*	6200
contig_1080	7814	47	N	N	4	*	*,1080,*
contig_4854	7813	15	N	N	3	*	*,4854,*
contig_2115	7809	9	N	N	2	*	*,2115,*
contig_4068	7794	16	N	N	3	*	*,4068,*
contig_7024	7782	17	Y	N	2	*	7024
contig_2560	7773	27	N	N	3	*	*,2560,*
contig_6202	7770	19	N	N	4	*	*,6202,*
contig_1249	7762	18	N	N	1	*	1246,1248,1246,1245,1249,-1247,-1245,-1246,-1247,-1245,-1246
contig_4379	7760	16	N	N	4	*	*,4379,*
contig_1313	7758	27	N	N	3	*	*,1313,*
contig_2962	7755	18	N	N	4	*	*,2962,*
contig_2851	7730	40	N	N	3	*	*,2851,*
contig_4745	7697	25	N	N	3	*	*,4745,*
contig_4028	7684	20	N	N	2	*	*,4028,*
contig_5345	7660	11	N	Y	5	*	*,5345
contig_5552	7659	43	N	N	4	*	*,5552,*
contig_5113	7646	20	N	N	2	*	*,5113,*
contig_6759	7644	17	N	N	3	*	*,6759,-2103,*
contig_1498	7622	24	N	N	6	*	*,1498,*
contig_965	7621	33	N	N	4	*	*,965,*
contig_6758	7605	18	Y	N	3	*	6758
contig_5847	7602	10	N	N	2	*	*,5847,*
contig_2097	7597	38	N	N	3	*	2096,2098,2097,-2096
contig_3577	7590	67	N	N	9	*	*,3577,*
contig_6033	7579	20	N	N	5	*	*,6033,*
contig_4727	7563	23	N	N	5	*	*,4727,*
contig_5165	7557	22	N	N	2	*	*,5165,*
contig_3938	7555	19	N	N	4	*	*,3938,*
contig_6238	7549	6	N	N	1	*	*,6238,*
contig_6150	7545	20	Y	N	2	*	6150
contig_77	7531	18	N	N	4	*	9,9,77,-1092,-1093
contig_1211	7530	20	N	N	5	*	*,1211,*
contig_5813	7530	37	N	N	4	*	*,5813,*
contig_3444	7526	40	N	N	8	*	*,3444,*
contig_3094	7517	11	N	N	2	*	*,3094,*
contig_5143	7499	35	N	N	5	*	*,5143,*
contig_6795	7498	11	Y	Y	5	*	6795
contig_3893	7480	86	N	Y	28	*	*,3893,*
contig_1456	7476	89	N	N	11	*	*,-1455,-1455,-1455,-1455,-1455,-1455,-1455,-1455,-1455,-1455,-1455,-1455,-1455,-1455,-1455,-1455,-1455,1456,-2023,-2022,2024,-2024,2022,2023
contig_6900	7470	14	Y	N	3	*	6900
contig_2413	7456	17	N	N	2	*	*,2413,*
contig_6658	7446	25	N	N	2	*	1939,-1316,6658,1316
contig_2616	7441	11	N	N	2	*	*,2616,*
contig_3428	7440	13	N	N	2	*	-3426,-3422,3428,3422,3424,3424
contig_285	7433	16	N	N	2	*	*,285,*
contig_1391	7431	20	N	N	2	*	*,1391,*
contig_5184	7426	20	N	N	3	*	*,5184,*
contig_5767	7415	9	N	N	2	*	*,5767,*
contig_6933	7404	20	N	N	4	*	*,6933,*
contig_1123	7401	21	N	N	4	*	*,1123,*
contig_3192	7366	105	N	N	8	*	*,3192,*
contig_4749	7354	22	Y	N	3	*	4749
contig_1364	7345	49	N	N	6	*	*,1364,*
contig_4681	7345	24	Y	N	4	*	4681
contig_4618	7337	10	N	N	1	*	*,7091,7090,4618,-7090,-7090,*
contig_5277	7328	54	N	N	9	*	*,5277,*
contig_6655	7307	22	N	N	2	*	*,-7007,6655,-1302
contig_5658	7293	28	N	N	3	*	*,5658,*
contig_5672	7291	16	N	N	1	*	5672,-5671,*
contig_5349	7288	23	N	N	5	*	*,5349,*
contig_4027	7287	11	N	N	2	*	*,4027,*
contig_1258	7266	20	N	Y	6	*	1258
contig_1029	7265	23	N	N	2	*	*,1029,*
contig_1094	7258	21	N	N	3	*	*,-1095,1094,1095,*
contig_4085	7247	82	N	N	9	*	*,4085,*
contig_7076	7237	16	Y	Y	5	*	7076
contig_3685	7231	21	N	N	5	*	*,3685,*
contig_1343	7228	20	N	N	4	*	*,1343,*
contig_6999	7227	43	N	N	6	*	*,6999,*
contig_4339	7226	19	N	N	3	*	*,4339,*
contig_5297	7221	43	N	N	5	*	*,5297,*
contig_3786	7218	20	N	N	4	*	*,3786,*
contig_6516	7208	32	N	N	8	*	-258,6516,*
contig_6468	7199	18	N	N	4	*	*,6468,*
contig_3787	7183	35	N	N	7	*	*,3787,*
contig_6296	7181	15	N	N	3	*	*,6296,*
contig_3544	7137	33	N	Y	4	*	3544
contig_2401	7131	12	N	N	3	*	-2404,2401,-2399,2404
contig_998	7118	14	N	N	3	*	997,998,-997
contig_1973	7113	20	N	N	4	*	*,1973,*
contig_2118	7109	33	N	N	4	*	-2120,-2117,2118,-3608
contig_2643	7109	31	N	N	3	*	*,2643,*
contig_3207	7109	16	N	N	2	*	*,3207,*
contig_4344	7103	20	N	N	5	*	*,4344,*
contig_5264	7102	17	N	N	4	*	*,5264,*
contig_7129	7092	8	Y	Y	4	*	7129
contig_3222	7091	51	N	N	10	*	*,3222,*
contig_3043	7085	12	N	N	2	*	*,3043,*
contig_5141	7084	17	N	N	4	*	*,5141,*
contig_1240	7070	20	N	N	4	*	1239,1238,1240,-1238,-1239
contig_3519	7067	15	N	N	3	*	*,3519,*
contig_271	7058	15	N	N	3	*	*,271,*
contig_5366	7049	45	N	N	3	*	*,5366,*
contig_4859	7039	22	N	N	5	*	*,4859,*
contig_6371	7037	19	N	N	4	*	*,6371,*
contig_926	7034	37	N	N	9	*	924,-922,-921,-920,926,920,921,922,-924
contig_6633	7033	13	Y	Y	6	*	6633
contig_3620	7030	22	N	N	4	*	*,3620,*
contig_3135	7022	38	N	N	4	*	*,3135,*
contig_5943	7016	20	N	N	5	*	*,5943,*
contig_3940	7011	19	N	N	2	*	-3942,3940,-3941,3942,-3941
contig_1210	7005	12	N	N	3	*	*,1210,*
contig_6573	6993	16	N	N	4	*	*,6573,*
contig_5194	6985	50	N	N	5	*	*,-5193,5194,5195,5195,-5196
contig_908	6978	21	N	N	5	*	*,908,*
contig_686	6968	16	N	N	2	*	-689,689,686,684,687,-689
contig_507	6967	51	N	N	6	*	-505,505,507,508,-509,-6551,-510,509,-508
contig_3632	6966	20	N	N	5	*	*,3632,*
contig_4493	6962	20	N	N	4	*	*,4493,*
contig_4819	6951	14	N	N	2	*	4812,4814,4815,4819,-4815,-4814
contig_296	6949	32	N	N	2	*	*,296,*
contig_5759	6949	16	N	N	3	*	*,5759,*
contig_5315	6946	49	N	N	8	*	*,5315,*
contig_4638	6945	26	N	N	6	*	*,4638,*
contig_5995	6943	20	N	N	4	*	*,5995,*
contig_1342	6942	79	N	N	9	*	*,1342,*
contig_4235	6942	20	N	N	2	*	*,4235,*
contig_5663	6942	21	N	Y	7	*	5663
contig_4243	6941	17	N	N	2	*	*,4243,*
contig_102	6925	38	N	N	4	*	102,-4144
contig_4999	6921	13	N	N	3	*	*,4999,*
contig_2271	6920	16	N	N	1	*	*,2270,2270,2270,2270,2271,-2270,*
contig_1439	6919	22	N	N	2	*	*,1439,*
contig_1814	6918	10	N	N	2	*	*,1814,*
contig_6753	6916	33	N	N	4	*	*,-2044,6753,2044,*
contig_6148	6897	28	N	N	5	*	*,6148,*
contig_3929	6893	21	Y	N	1	*	3929
