#seq_name	length	coverage	circular	repeat	mult	telomere	alt_group	graph_path
contig_49	2542	3	N	N	1	both	*	49
contig_50	12000	5	Y	N	1	none	*	50
contig_51	1463	4	N	N	1	both	*	51
contig_53	7775	5	N	N	1	both	*	53
contig_54	2892	3	N	N	1	both	*	54
contig_55	1237	3	N	N	1	both	*	55
contig_56	1169	11	N	N	1	both	*	56
contig_57	3110	3	N	N	1	both	*	57
contig_58	1711	3	N	N	1	both	*	58
contig_59	1968	3	N	N	1	both	*	59
contig_62	2272	3	N	N	1	both	*	62
contig_63	2649	3	N	N	1	both	*	63
contig_64	3426	3	N	N	1	both	*	64
contig_65	3830	4	N	N	1	both	*	65
contig_66	2610	4	N	N	1	both	*	66
contig_67	2248	4	N	N	1	both	*	67
contig_71	2656	6	N	N	1	both	*	71
contig_72	2390	3	N	N	1	both	*	72
contig_73	2062	4	N	N	1	both	*	73
contig_75	8100	33	N	N	1	both	*	-352,-74,-74,75,74,352,74
contig_76	4377	3	N	N	1	both	*	76
contig_97	1332	14	N	N	1	both	*	97
contig_99	14540	8	N	N	1	none	*	78,78,-83,-80,-85,-84,78,99,-98,77,78,-80,78,78,78,78,78,-84,84,80,-78,-78,-78,-78,80,80,-77,-77,98
contig_100	3845	3	N	N	1	none	*	78,-84,78,-80,78,78,78,78,-84,78,-80,78,78,78,78,78,78,100
contig_101	7113	3	N	N	1	both	*	101
contig_103	3450	3	N	N	1	both	*	103
contig_104	2342	3	N	N	1	both	*	104
contig_105	3663	4	N	N	1	both	*	105
contig_106	2300	3	N	N	1	both	*	106
contig_107	2878	3	N	N	1	both	*	107
contig_108	3957	3	N	N	1	both	*	108
contig_109	2223	3	N	N	1	both	*	109
contig_110	3829	4	N	N	1	both	*	110
contig_111	1026	9	N	N	1	both	*	111
contig_126	8576	9	N	N	1	both	*	126
contig_134	582	71	N	N	1	both	*	134
contig_135	2289	3	N	N	1	both	*	135
contig_148	3689	4	N	N	1	none	*	148,-147,-140,138,-145,143,-145,-140,-139,-137,-137
contig_149	2843	4	N	N	1	none	*	149,-147,143,138
contig_152	1333	3	N	N	1	both	*	152
contig_153	1172	29	N	N	1	both	*	153
contig_154	4086	3	N	N	1	both	*	154
contig_155	2457	3	N	N	1	both	*	155
contig_156	2354	3	N	N	1	both	*	156
contig_157	3059	3	N	N	1	both	*	157
contig_158	2308	3	N	N	1	both	*	158
contig_159	2379	3	N	N	1	both	*	159
contig_161	2379	3	N	N	1	both	*	161
contig_163	627	33	N	N	1	both	*	163
contig_165	4159	3	N	N	1	both	*	165
contig_166	2399	5	N	N	1	both	*	166
contig_167	3966	3	N	N	1	both	*	167
contig_180	1695	8	N	N	1	both	*	180
contig_181	8430	55	N	N	1	none	*	176,177,178,176,176,177,178,181,-177,-176,-179,-179,-176,-176,-176,-178,-177,-176,-178
contig_183	1855	3	N	N	1	both	*	183
contig_184	4117	3	N	N	1	both	*	184
contig_185	2206	3	N	N	1	both	*	185
contig_186	2337	5	N	N	1	left	*	186,-187
contig_188	4033	4	N	N	1	both	*	188
contig_194	2706	3	N	N	1	both	*	194
contig_195	2655	4	N	N	1	both	*	195
contig_196	2482	3	N	N	1	both	*	196
contig_197	2287	3	N	N	1	both	*	197
contig_198	2833	5	N	N	1	both	*	198
contig_199	2418	3	N	N	1	both	*	199
contig_200	2584	3	N	N	1	both	*	200
contig_201	2855	3	N	N	1	both	*	201
contig_202	1167	4	N	N	1	both	*	202
contig_203	9369	3	N	N	1	both	*	203
contig_204	3357	4	N	N	1	both	*	204
contig_205	4008	3	N	N	1	right	*	205,-359
contig_206	2663	4	N	N	1	both	*	206
contig_207	2179	3	N	N	1	both	*	207
contig_208	3353	3	N	N	1	both	*	208
contig_209	2208	4	N	N	1	both	*	209
contig_213	4324	3	N	N	1	both	*	213
contig_214	2482	9	N	N	1	both	*	214
contig_220	2870	3	N	N	1	both	*	220
contig_221	2299	3	N	N	1	both	*	221
contig_222	2496	3	N	N	1	both	*	222
contig_225	2193	5	N	N	1	both	*	225
contig_226	3871	3	N	N	1	both	*	226
contig_227	2480	3	N	N	1	both	*	227
contig_229	1126	3	N	N	1	both	*	229
contig_235	2297	3	N	N	1	both	*	235
contig_236	3014	4	N	N	1	both	*	236
contig_237	2581	3	N	N	1	both	*	237
contig_238	2449	3	N	N	1	both	*	238
contig_239	2665	3	N	N	1	both	*	239
contig_240	2877	3	N	N	1	both	*	240
contig_242	2697	3	N	N	1	both	*	242
contig_244	2735	13	N	N	1	both	*	244
contig_246	2239	3	N	N	1	both	*	246
contig_247	3541	3	N	N	1	both	*	247
