#seq_name	length	coverage
contig_1	1491	18
contig_10	5791	16
contig_100	7236	33
contig_1000	2881	29
contig_1001	3943	20
contig_1002	2404	48
contig_1003	1063	23
contig_1004	3617	19
contig_1005	7780	28
contig_1006	1037	158
contig_1007	853	72
contig_1008	772	23
contig_1009	704	109
contig_101	2804	20
contig_1010	620	23
contig_1011	3241	45
contig_1012	1905	39
contig_1016	3556	6
contig_1017	2495	17
contig_1018	4327	20
contig_1019	655	14
contig_102	4262	16
contig_1020	2802	20
contig_1021	1376	25
contig_1022	5236	52
contig_1023	842	12
contig_1024	1358	74
contig_1025	2127	5
contig_1028	512	17
contig_103	4894	16
contig_1030	3819	18
contig_1031	4084	15
contig_1032	3278	17
contig_1033	4330	13
contig_1034	4525	13
contig_1035	1424	27
contig_1036	4181	32
contig_1038	2500	40
contig_1039	3614	50
contig_104	1047	29
contig_1040	1014	16
contig_1041	678	100
contig_1042	1011	68
contig_1043	670	67
contig_1044	946	17
contig_1045	853	17
contig_1046	2185	24
contig_1048	4259	16
contig_1049	2578	13
contig_1050	3139	21
contig_1051	605	19
contig_1052	2553	20
contig_1053	1345	15
contig_1054	2142	19
contig_1057	4271	20
contig_1058	7482	20
contig_1059	1625	20
contig_106	4360	33
contig_1060	2111	19
contig_1061	2831	6
contig_1062	1085	20
contig_1063	4399	39
contig_1064	3516	19
contig_1065	1514	42
contig_1066	604	5
contig_1067	3646	36
contig_1068	10608	22
contig_1069	10682	34
contig_107	10585	28
contig_1071	5367	17
contig_1072	1757	4
contig_1073	2225	21
contig_1074	2195	19
contig_1075	2790	32
contig_1076	1277	52
contig_1077	2816	23
contig_1078	559	19
contig_1079	733	123
contig_108	1008	17
contig_1080	869	117
contig_1081	2929	33
contig_1082	1196	89
contig_1083	3689	13
contig_1084	4337	52
contig_1085	1091	17
contig_1086	2386	9
contig_1087	3144	13
contig_1088	2973	15
contig_1089	3392	8
contig_109	1844	3
contig_1090	3963	15
contig_1091	3167	116
contig_1092	2548	5
contig_1093	4475	20
contig_1094	1719	36
contig_1095	5905	14
contig_1096	2534	48
contig_1097	2169	20
contig_1098	2287	27
contig_1099	2682	11
contig_11	6028	19
contig_110	444	9
contig_1100	2264	21
contig_1101	2514	16
contig_1102	6149	21
contig_1103	1022	20
contig_1104	1660	17
contig_1105	2077	22
contig_1107	1620	23
contig_1108	9506	20
contig_1109	647	129
contig_111	2087	16
contig_1110	3677	18
contig_1111	4843	14
contig_1112	2921	16
contig_1113	3923	15
contig_1114	3999	19
contig_1115	2487	25
contig_1116	2597	17
contig_1117	4445	36
contig_1119	4652	37
contig_112	1565	10
contig_1121	1044	42
contig_1122	7103	32
contig_1123	2779	30
contig_1124	2052	17
contig_1125	2448	20
contig_113	2208	20
contig_1130	669	17
