#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_453	18658	16	Y	N	3	*	453
contig_653	13277	42	Y	N	3	*	653
contig_420	12423	15	N	N	1	*	*,420,*
contig_154	11246	43	N	N	2	*	529,-530,154,148,148,149,150,153,149,148,148,149,*
contig_537	10725	7	N	Y	3	*	537
contig_320	9000	12	N	N	3	*	*,320,*
contig_79	8879	46	N	N	9	*	*,80,80,79,-80,-80,*
contig_271	8789	20	N	N	5	*	*,271,*
contig_617	8786	66	N	N	3	*	*,617,*
contig_235	8540	4	N	Y	2	*	235
contig_286	8506	13	N	N	3	*	*,286,*
contig_644	8395	28	N	Y	5	*	*,644
contig_581	8151	4	N	N	1	*	*,581,*
contig_114	8144	193	N	N	16	*	*,114,*
contig_573	7922	14	N	N	3	*	*,573,*
contig_311	7012	23	N	N	3	*	*,310,308,309,311,-309,-309,-308,-310,*
contig_318	7002	3	N	N	1	*	*,318,*
contig_99	6904	81	N	Y	40	*	99
contig_281	6820	20	N	N	5	*	*,-279,-278,-280,-272,-273,-279,281,275,272,278,279,*
contig_362	6744	20	N	N	5	*	*,362,*
contig_78	6492	245	N	N	61	*	*,78,*
contig_569	6476	5	N	N	1	*	*,569,*
contig_436	6154	30	N	N	4	*	*,436,*
contig_139	6060	104	N	Y	5	*	139
contig_403	6042	134	N	Y	67	*	403
contig_256	5986	4	N	N	1	*	*,256,*
contig_310	5985	35	N	Y	2	*	*,310,*
contig_486	5971	63	N	N	15	*	*,486,*
contig_122	5952	5	Y	N	1	*	122
contig_138	5926	12	N	N	2	*	*,138,*
contig_378	5771	3	N	N	1	*	*,378,*
contig_611	5768	4	Y	N	1	*	611
contig_495	5602	56	N	N	2	*	*,494,494,494,495,496,496,496
contig_425	5563	18	N	N	3	*	*,425,*
contig_69	5499	5	N	N	1	*	*,69,*
contig_487	5497	5	N	N	1	*	*,487,*
contig_383	5377	5	Y	Y	2	*	383
contig_370	5357	25	N	N	6	*	*,370,*
contig_642	5237	3	Y	Y	1	*	642
contig_262	5231	4	N	N	1	*	*,262,*
contig_206	5222	74	N	N	5	*	*,206,*
contig_590	5164	76	Y	N	1	*	590
contig_580	5153	6	N	N	1	*	*,580,*
contig_162	5079	8	N	N	1	*	*,162,*
contig_347	5028	3	Y	Y	1	*	347
contig_612	5010	3	N	Y	1	*	*,612
contig_575	4982	20	N	N	2	*	*,575,*
contig_202	4957	4	Y	Y	1	*	202
contig_478	4946	183	N	N	36	*	*,478,*
contig_645	4813	4	Y	Y	2	*	645
contig_534	4799	86	N	N	21	*	-70,73,534,-73,70,70,70
contig_290	4777	44	N	N	1	*	289,290,291,291,*
contig_619	4769	162	Y	Y	54	*	619
contig_223	4753	24	N	N	6	*	*,223,*
contig_607	4728	7	N	Y	2	*	*,607
contig_406	4627	36	N	N	9	*	*,406,*
contig_585	4616	45	Y	Y	2	*	585
contig_449	4612	3	N	N	1	*	*,449,*
contig_132	4601	306	N	Y	306	*	132
contig_473	4601	35	N	N	5	*	*,473,*
contig_541	4577	20	N	N	2	*	*,644,541,-644,*
contig_632	4538	7	Y	Y	1	*	632
contig_614	4524	3	Y	Y	1	*	614
contig_563	4522	43	N	N	5	*	*,563,*
contig_59	4443	451	N	Y	150	*	59
