#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_99	14369	121	N	N	13	*	78,78,-83,-80,-85,-84,78,99,-98,77,78,-80,78,78,78,78,78,-84,84,80,-78,-78,-78,-78,80,80,-77,-77,98
contig_102	14078	26	N	Y	8	*	102
contig_50	11479	219	Y	N	36	*	50
contig_326	10200	23	N	Y	11	*	326
contig_126	8537	141	N	N	14	*	*,126,*
contig_181	8368	44	N	N	1	*	176,177,178,176,176,177,178,181,-177,-176,-179,-179,-176,-176,-176,-178,-177,-176,-178
contig_336	8167	4	N	N	1	*	*,336,*
contig_203	8052	20	N	N	5	*	*,203,*
contig_53	7770	45	N	N	7	*	*,53,*
contig_75	7390	97	N	N	2	*	*,-352,-74,-74,75,74,352,74,*
contig_101	6689	133	N	N	33	*	*,101,*
contig_266	6617	62	N	N	1	*	267,263,263,263,262,262,264,266,-264,-263,-262,-263
contig_310	6606	21	N	N	1	*	*,310,-311
contig_155	6476	5	N	N	1	*	*,155,*
contig_356	6199	5	Y	Y	1	*	356
contig_343	5986	4	N	N	1	*	*,343,*
contig_349	5499	5	N	N	1	*	*,349,*
contig_318	5159	7	N	N	1	*	*,318,-319
contig_258	5000	7	Y	N	1	*	258
contig_271	4973	25	N	N	4	*	*,271,*
contig_366	4970	4	Y	Y	2	*	366
contig_297	4892	63	N	N	12	*	*,297,*
contig_278	4774	29	N	N	7	*	*,278,*
contig_276	4682	209	N	Y	104	*	276
contig_76	4418	106	N	N	26	*	*,76,*
contig_256	4384	74	N	N	18	*	*,256,*
contig_188	4373	6	N	N	1	*	*,188,*
contig_160	4312	286	Y	Y	95	*	160
contig_213	4298	8	N	N	2	*	*,213,*
contig_165	4172	4	N	N	1	*	*,165,*
contig_205	4168	4	N	N	1	*	205,-359,*
contig_154	4084	12	N	N	3	*	*,154,*
contig_184	4048	5	N	N	1	*	*,184,*
contig_269	4012	139	Y	Y	27	*	269
contig_87	3988	48	N	Y	24	*	87
contig_108	3977	4	N	N	1	*	*,108,*
contig_167	3971	4	N	N	1	*	*,167,*
contig_65	3949	39	N	N	7	*	*,65,*
contig_226	3877	3	N	N	1	*	*,226,*
contig_110	3841	5	N	N	1	*	*,110,*
contig_100	3778	79	N	N	19	*	78,-84,78,-80,78,78,78,78,-84,78,-80,78,78,78,78,78,78,100
