#seq_name	length	coverage	circular	repeat	mult	telomere	alt_group	graph_path
contig_1	658	18	N	N	2	both	*	1
contig_3	3269	26	N	N	2	none	*	2,3,-4
contig_8	1001	5	N	N	1	both	*	8
contig_9	1004	11	N	N	1	both	*	9
contig_11	3124	9	N	N	1	none	*	11,10,-10
contig_15	11132	18	N	N	2	both	*	5,6,10,12,-13,15,-12,-10,-6,-5
contig_16	1815	12	N	N	1	both	*	16
contig_18	2120	12	N	N	1	both	*	18
contig_19	2633	5	N	N	1	both	*	19
contig_20	6176	32	N	N	3	both	*	20
contig_21	1049	24	N	N	2	both	*	21
contig_23	5760	5	N	N	1	both	*	23
contig_24	6666	12	N	N	1	none	*	-26,24,-26,26
contig_25	2258	7	N	N	1	none	*	22,25
contig_27	1233	3	N	N	1	both	*	27
contig_29	2848	4	N	N	1	both	*	28,29,-28
contig_30	7046	8	N	N	1	both	*	30
contig_31	2723	3	N	N	1	both	*	31
contig_32	15743	6	N	N	1	both	*	32
contig_33	1581	8	N	N	1	both	*	33
contig_34	1958	3	N	N	1	both	*	34
contig_36	4241	80	N	N	7	none	*	35,35,36,37,-38
contig_40	1620	22	N	N	2	both	*	40
contig_41	1677	15	N	N	1	both	*	41
contig_42	2196	3	N	N	1	both	*	42
contig_43	2507	6	N	N	1	both	*	43
contig_44	6186	9	N	N	1	both	*	44
contig_48	2097	12	N	N	1	both	*	48
contig_49	3201	9	N	N	1	none	*	49,-47,-46,46,47
contig_51	8605	71	N	N	6	none	*	-50,50,-50,51,-53,54,53,-52,52,-53,-54,53,-52
contig_58	1313	6	N	N	1	both	*	58
contig_59	1993	25	N	N	2	both	*	59
contig_64	9036	28	N	N	3	both	*	64
contig_65	2575	7	N	N	1	both	*	65
contig_66	2581	5	N	N	1	both	*	66
contig_67	4921	3	N	N	1	both	*	67
contig_68	1774	4	N	N	1	both	*	68
contig_69	6005	4	N	N	1	both	*	69
contig_70	17351	32	N	N	3	both	*	70
contig_71	1512	10	N	N	1	both	*	71
contig_72	846	11	N	N	1	both	*	72
contig_73	1020	7	N	N	1	both	*	73
contig_74	4027	3	N	N	1	both	*	74
contig_75	1335	8	N	N	1	both	*	75
contig_76	564	34	N	N	3	both	*	76
contig_77	1343	9	N	N	1	both	*	77
contig_78	573	25	N	N	2	both	*	78
contig_80	2055	15	N	N	1	none	*	79,80,-79
contig_82	1664	85	N	N	8	both	*	82
contig_83	4277	3	N	N	1	both	*	83
contig_84	2754	11	N	N	1	both	*	84
contig_85	1217	4	N	N	1	both	*	85
contig_88	10494	12	N	N	1	none	*	86,-86,88,432
contig_90	2338	10	N	N	1	both	*	90
contig_91	22314	9	N	N	1	both	*	91
contig_92	588	6	N	N	1	both	*	92
contig_93	10616	3	N	N	1	both	*	93
contig_95	10889	26	N	N	2	right	*	-94,94,95,-3994,-3995
contig_96	2990	7	N	N	1	both	*	96
contig_97	4260	3	N	N	1	both	*	97
contig_98	2395	8	N	N	1	both	*	98
contig_99	4988	12	N	N	1	both	*	99
contig_101	5014	8	N	N	1	none	*	100,101,-100
contig_102	7620	3	N	N	1	both	*	102
contig_104	3493	5	N	N	1	none	*	103,104,-103
contig_105	1377	4	N	N	1	both	*	105
contig_106	1198	10	N	N	1	both	*	106
contig_107	4168	7	N	N	1	both	*	107
contig_109	1813	8	N	N	1	both	*	109
contig_110	7143	5	N	N	1	both	*	110
contig_111	3084	4	N	N	1	left	*	111,-112
contig_116	13724	37	N	N	3	none	*	115,114,116,-3698,-3697,3697,-3697,3697,3698
contig_117	1299	27	N	N	2	both	*	117
contig_121	1872	10	N	N	1	both	*	121
