#seq_name	length	coverage	circular	repeat	mult	telomere	alt_group	graph_path
contig_1	1597	3	N	N	1	both	*	1
contig_2	2321	5	N	N	1	both	*	2
contig_4	1946	4	N	N	1	both	*	4
contig_5	2240	3	N	N	1	both	*	5
contig_6	2596	3	N	N	1	both	*	6
contig_7	7914	3	N	N	1	both	*	7
contig_8	1610	3	N	N	1	both	*	8
contig_10	5761	6	N	N	1	both	*	9,10,-9
contig_12	2617	4	N	N	1	both	*	-11,12,11
contig_13	5936	3	N	N	1	both	*	13
contig_15	7087	10	N	N	1	none	*	14,14,14,14,15,-14,-14
contig_16	586	12	N	N	1	both	*	16
contig_17	2549	9	N	N	1	both	*	17
contig_18	4636	12	N	N	1	none	*	-6549,18,6549
contig_21	20756	29	N	N	3	none	*	-36,36,-41,-37,35,35,21,22,23,-22,22,-22
contig_25	3113	23	N	N	3	both	*	25
contig_27	1863	6	N	N	1	both	*	27
contig_28	619	9	N	N	1	both	*	28
contig_29	1271	3	N	N	1	both	*	29
contig_31	1176	3	N	N	1	both	*	31
contig_32	5512	3	N	N	1	both	*	32
contig_33	1098	5	N	N	1	both	*	33
contig_34	1021	9	N	N	1	both	*	34
contig_43	4707	4	N	N	1	both	*	43
contig_44	2599	3	N	N	1	both	*	44
contig_45	2641	4	N	N	1	both	*	45
contig_46	2724	28	N	N	3	both	*	46
contig_47	2696	11	N	N	1	both	*	47
contig_48	2197	5	N	N	1	both	*	48
contig_50	2641	7	N	N	1	both	*	50
contig_51	3346	3	N	N	1	both	*	51
contig_53	1380	5	N	N	1	both	*	53
contig_54	3384	8	N	N	1	both	*	54
contig_55	1436	3	N	N	1	both	*	55
contig_56	5271	3	N	N	1	both	*	56
contig_57	2634	3	N	N	1	both	*	57
contig_58	7677	4	N	N	1	both	*	58
contig_59	3477	4	N	N	1	both	*	59
contig_60	1185	4	N	N	1	both	*	60
contig_61	3592	4	N	N	1	both	*	61
contig_62	634	208	N	N	23	both	*	62
contig_63	4574	5	N	N	1	both	*	63
contig_67	3285	27	N	N	3	none	*	65,-65,67,-281,-288,281
contig_68	4502	3	N	N	1	both	*	68
contig_69	5817	7	N	N	1	both	*	69
contig_70	1923	4	N	N	1	both	*	70
contig_71	3389	3	N	N	1	both	*	71
contig_72	6534	4	N	N	1	both	*	72
contig_73	2721	3	N	N	1	both	*	73
contig_74	1889	8	N	N	1	both	*	74
contig_75	3158	11	N	N	1	both	*	75
contig_80	7024	8	N	N	1	none	*	76,78,77,80,-77,-78,-76
contig_81	3734	8	N	N	1	none	*	81,79
contig_82	3854	6	N	N	1	none	*	-76,82,76
contig_84	4936	5	N	N	1	both	*	83,84,-83
contig_85	5095	5	N	N	1	both	*	85
contig_86	1426	6	N	N	1	both	*	86
contig_88	4559	6	N	N	1	none	*	88,87,91,-87
contig_89	1934	7	N	N	1	both	*	89
contig_92	4551	6	N	N	1	both	*	92
contig_93	4169	19	N	N	2	both	*	93
contig_94	1620	4	N	N	1	both	*	94
contig_95	4575	3	N	N	1	both	*	95
contig_96	5498	3	N	N	1	both	*	96
contig_99	2046	18	N	N	2	both	*	99
contig_100	3195	26	N	N	3	both	*	-97,-98,100,98,98
contig_101	6993	6	N	N	1	both	*	101
contig_102	2790	4	N	N	1	both	*	102
contig_103	3478	5	N	N	1	both	*	103
contig_153	2172	3	N	N	1	both	*	153
contig_155	6485	6	N	N	1	both	*	155
contig_156	3460	3	N	N	1	both	*	156
